rank0,rank1,rank2,rank3
2.8383861601087372,3.0,1.5,3.0
2.805245810368243,3.0,1.5,3.0
2.8983482691742815,3.0,1.0,3.0
2.8787641118728993,3.0,1.5,1.5
2.7756578939000316,1.5,1.5,3.0
2.831871689888282,3.0,1.5,1.5
2.855287909608079,3.0,1.0,3.0
2.8544145686848124,3.0,1.5,3.0
2.8915671926622473,1.5,1.5,3.0
2.844154296837746,3.0,1.0,3.0
2.590225242529977,3.0,1.5,3.0
2.8206053228512453,3.0,1.5,1.5
2.756878846540775,3.0,1.5,1.5
2.752081502350115,1.5,1.5,1.5
2.8577839186705374,3.0,1.0,3.0
3.0,3.0,1.0,3.0
2.7467349002510133,3.0,1.0,3.0
2.785512166095459,1.0,1.5,1.5
2.8202861141024016,3.0,1.5,1.5
0.6285952634711401,3.0,1.5,1.5
2.784236029805697,3.0,1.0,3.0
2.762432651127269,3.0,1.5,1.5
2.860429504967237,1.0,1.5,1.5
2.688702353819844,3.0,1.5,1.5
2.7041000746968984,3.0,1.0,3.0
2.931345242870596,1.0,1.5,1.5
2.7855169372353203,3.0,0.75,3.0
2.828761644754933,3.0,1.0,3.0
2.900265915849562,3.0,1.0,1.5
2.76491736114259,3.0,0.75,1.5
2.758811284199057,1.5,0.75,1.5
2.7603980321859343,3.0,0.75,3.0
2.9769855251421955,3.0,1.0,3.0
2.8421732987895494,3.0,1.0,1.5
2.783508855339392,1.0,1.5,1.5
2.79370287509027,1.5,1.5,1.5
2.783565221685066,3.0,1.0,3.0
2.8430325585389227,0.75,1.5,1.5
2.7162038698506925,1.5,1.0,3.0
2.8319883607025034,1.5,1.5,1.5
2.87535559008733,0.6000000000000001,1.0,1.5
2.793905152310586,0.75,1.5,1.5
2.494614363643986,3.0,1.5,3.0
2.8090368467578424,1.5,1.5,1.5
2.9512542409042783,1.5,1.0,3.0
2.4758363934146095,3.0,1.5,1.5
2.8236870309650595,3.0,0.75,1.5
2.763547956965516,1.0,1.5,1.5
2.8397960973643226,3.0,0.75,0.0
2.759209598757758,3.0,0.75,1.5
2.7884439485957877,0.6000000000000001,1.0,3.0
2.752231975050406,1.0,1.5,1.5
2.6933071057701268,3.0,0.75,3.0
2.786601733196059,1.0,1.0,3.0
2.7094032132872155,3.0,1.0,3.0
2.7678045080105576,1.5,1.5,1.5
2.821369525804438,3.0,1.0,3.0
2.938231385317219,1.5,0.75,1.5
2.7972977466368394,0.6000000000000001,0.75,1.5
2.5957815490677265,1.5,1.0,3.0
2.579000102364171,0.6000000000000001,1.5,1.5
1.9779650723079065,3.0,0.75,3.0
2.8583939668070326,1.5,0.75,1.5
2.837605862660048,1.0,0.75,1.5
2.6199776624870066,1.0,1.5,1.5
2.3147719930431863,1.5,1.0,3.0
2.7664243480643727,3.0,1.0,1.5
2.587769742068168,3.0,1.0,3.0
2.8212902899444927,0.6000000000000001,0.75,0.0
2.795835901367684,1.0,1.0,3.0
2.7890951389562515,0.6000000000000001,1.0,3.0
2.7615556573598274,1.0,0.75,1.5
2.7251047266114794,1.5,0.75,1.5
2.717257738998865,1.5,1.5,1.5
1.7674812076879753,3.0,1.5,1.5
2.85206894299112,1.0,0.75,1.5
2.794174844134619,0.6000000000000001,1.0,1.5
0.6285952634711401,3.0,0.75,0.0
2.6905869522198396,0.6000000000000001,0.75,1.5
2.858226647479483,0.6000000000000001,0.75,0.0
2.8738779584939307,1.0,0.75,0.0
2.7456224704847707,0.75,0.75,0.0
2.8339533583142384,1.5,0.75,0.0
1.0267855523678235,3.0,1.5,0.0
2.7419514094034123,1.0,1.0,1.5
2.781028706770667,0.75,0.75,0.0
2.8012360319312695,0.75,0.75,0.0
2.7827324108862763,0.75,0.75,0.0
2.86175378272151,0.6000000000000001,0.75,0.0
2.8473774456100247,0.6000000000000001,0.75,0.0
2.665538126600751,0.6000000000000001,0.75,0.0
2.7117933523774345,0.75,0.75,1.5
2.4417235729701323,1.0,1.0,3.0
2.6607859443430866,0.75,0.75,1.5
2.51657652426211,0.75,1.0,3.0
0.3008461043201335,3.0,0.75,0.0
1.5305445819896022,3.0,0.75,0.0
2.8087826770332835,0.6000000000000001,0.75,0.0
2.802490162199983,0.6000000000000001,0.75,0.0
0.6285952634711401,3.0,0.75,0.0
2.8201772110183274,0.6000000000000001,0.75,0.0
2.977121963605673,1.5,0.75,0.0
2.809169887928653,0.6000000000000001,0.75,0.0
1.6987924457618546,3.0,0.75,0.0
2.8293635268585664,0.6000000000000001,0.75,0.0
1.3131189650496888,3.0,1.0,1.5
2.7902067013843093,0.6000000000000001,0.75,0.0
2.756980280843405,0.6000000000000001,0.75,0.0
2.2258172338210875,3.0,0.75,0.0
2.5312631106845176,0.6000000000000001,0.75,0.0
2.373736599215143,1.0,0.75,1.5
2.849114652067957,0.6000000000000001,0.75,0.0
2.742215847444173,0.6000000000000001,0.75,0.0
2.672160598563763,0.6000000000000001,0.75,0.0
1.0849443978568394,0.6000000000000001,0.75,0.0
2.823175231551219,0.6000000000000001,0.75,0.0
2.8857660905146947,0.6000000000000001,0.75,0.0
2.707937940368867,0.6000000000000001,0.75,0.0
2.7469105744140823,0.6000000000000001,0.75,0.0
2.6169806466124004,1.5,0.75,0.0
0.6285952634711401,0.6000000000000001,0.75,0.0
2.597741651720456,0.6000000000000001,0.75,0.0
2.714616034456996,0.6000000000000001,0.75,0.0
2.7196797318894648,0.6000000000000001,0.75,0.0
2.7981781042363485,0.6000000000000001,0.75,0.0
2.9134686374276155,0.6000000000000001,0.75,0.0
2.537420324520133,0.6000000000000001,0.75,0.0
2.7189944519112377,0.75,0.75,0.0
2.724513737901922,0.6000000000000001,0.75,0.0
2.718543261625075,0.6000000000000001,0.75,0.0
2.6871300362175754,0.6000000000000001,0.75,0.0
2.713868785400395,0.6000000000000001,0.75,0.0
2.687510929700286,0.6000000000000001,0.75,0.0
2.7713004469083797,0.6000000000000001,0.75,0.0
2.733245499809084,0.6000000000000001,0.75,0.0
2.5619879916890387,0.75,0.75,0.0
2.3342938138862523,0.6000000000000001,0.75,0.0
2.3490276657180638,0.6000000000000001,0.75,0.0
2.454555779203289,0.6000000000000001,0.75,0.0
2.548418418647734,0.6000000000000001,0.75,0.0
2.111729950224663,0.75,0.75,0.0
2.1191452272825475,0.6000000000000001,0.75,0.0
2.517978810936992,0.6000000000000001,0.75,0.0
2.111729950224663,0.6000000000000001,0.75,0.0
2.4321743760202157,0.6000000000000001,0.75,0.0
2.177355570505022,0.6000000000000001,0.75,0.0
2.5131641399742097,0.6000000000000001,0.75,0.0
2.178158398764128,0.6000000000000001,0.75,0.0
1.7113092539463726,0.6000000000000001,0.75,0.0
1.88244017934101,0.6000000000000001,0.75,0.0
