id,CATEGORY,SENTIMENT,SCORE,REVLEN
140166,0.41,0.23,0.08,0.28
140167,0.41,0.23,0.09,0.27
140168,0.41,0.23,0.1,0.26
140169,0.41,0.23,0.11,0.25
140170,0.41,0.23,0.12,0.24
140171,0.41,0.23,0.13,0.23
140172,0.41,0.23,0.14,0.22
140173,0.41,0.23,0.15,0.21
140174,0.41,0.23,0.16,0.2
140175,0.41,0.23,0.17,0.19
140176,0.41,0.23,0.18,0.18
140177,0.41,0.23,0.19,0.17
140178,0.41,0.23,0.2,0.16
140179,0.41,0.23,0.21,0.15
140180,0.41,0.23,0.22,0.14
140181,0.41,0.23,0.23,0.13
140182,0.41,0.23,0.24,0.12
140183,0.41,0.23,0.25,0.11
140184,0.41,0.23,0.26,0.1
140185,0.41,0.23,0.27,0.09
140186,0.41,0.23,0.28,0.08
140187,0.41,0.23,0.29,0.07
140188,0.41,0.23,0.3,0.06
140189,0.41,0.23,0.31,0.05
140190,0.41,0.23,0.32,0.04
140191,0.41,0.23,0.33,0.03
140192,0.41,0.23,0.34,0.02
140193,0.41,0.23,0.35,0.01
140194,0.41,0.23,0.36,0.0
140195,0.41,0.24,0.0,0.35
140196,0.41,0.24,0.01,0.34
140197,0.41,0.24,0.02,0.33
140198,0.41,0.24,0.03,0.32
140199,0.41,0.24,0.04,0.31
140200,0.41,0.24,0.05,0.3
140201,0.41,0.24,0.06,0.29
140202,0.41,0.24,0.07,0.28
140203,0.41,0.24,0.08,0.27
140204,0.41,0.24,0.09,0.26
140205,0.41,0.24,0.1,0.25
140206,0.41,0.24,0.11,0.24
140207,0.41,0.24,0.12,0.23
140208,0.41,0.24,0.13,0.22
140209,0.41,0.24,0.14,0.21
140210,0.41,0.24,0.15,0.2
140211,0.41,0.24,0.16,0.19
140212,0.41,0.24,0.17,0.18
140213,0.41,0.24,0.18,0.17
140214,0.41,0.24,0.19,0.16
140215,0.41,0.24,0.2,0.15
140216,0.41,0.24,0.21,0.14
140217,0.41,0.24,0.22,0.13
140218,0.41,0.24,0.23,0.12
140219,0.41,0.24,0.24,0.11
140220,0.41,0.24,0.25,0.1
140221,0.41,0.24,0.26,0.09
140222,0.41,0.24,0.27,0.08
140223,0.41,0.24,0.28,0.07
140224,0.41,0.24,0.29,0.06
140225,0.41,0.24,0.3,0.05
140226,0.41,0.24,0.31,0.04
140227,0.41,0.24,0.32,0.03
