id,CATEGORY,SENTIMENT,SCORE,REVLEN
60000,0.13,0.07,0.34,0.46
60001,0.13,0.07,0.35,0.45
60002,0.13,0.07,0.36,0.44
60003,0.13,0.07,0.37,0.43
60004,0.13,0.07,0.38,0.42
60005,0.13,0.07,0.39,0.41
60006,0.13,0.07,0.4,0.4
60007,0.13,0.07,0.41,0.39
60008,0.13,0.07,0.42,0.38
60009,0.13,0.07,0.43,0.37
60010,0.13,0.07,0.44,0.36
60011,0.13,0.07,0.45,0.35
60012,0.13,0.07,0.46,0.34
60013,0.13,0.07,0.47,0.33
60014,0.13,0.07,0.48,0.32
60015,0.13,0.07,0.49,0.31
60016,0.13,0.07,0.5,0.3
60017,0.13,0.07,0.51,0.29
60018,0.13,0.07,0.52,0.28
60019,0.13,0.07,0.53,0.27
60020,0.13,0.07,0.54,0.26
60021,0.13,0.07,0.55,0.25
60022,0.13,0.07,0.56,0.24
60023,0.13,0.07,0.57,0.23
60024,0.13,0.07,0.58,0.22
60025,0.13,0.07,0.59,0.21
60026,0.13,0.07,0.6,0.2
60027,0.13,0.07,0.61,0.19
60028,0.13,0.07,0.62,0.18
60029,0.13,0.07,0.63,0.17
60030,0.13,0.07,0.64,0.16
60031,0.13,0.07,0.65,0.15
60032,0.13,0.07,0.66,0.14
60033,0.13,0.07,0.67,0.13
60034,0.13,0.07,0.68,0.12
60035,0.13,0.07,0.69,0.11
60036,0.13,0.07,0.7,0.1
60037,0.13,0.07,0.71,0.09
60038,0.13,0.07,0.72,0.08
60039,0.13,0.07,0.73,0.07
60040,0.13,0.07,0.74,0.06
60041,0.13,0.07,0.75,0.05
60042,0.13,0.07,0.76,0.04
60043,0.13,0.07,0.77,0.03
60044,0.13,0.07,0.78,0.02
60045,0.13,0.07,0.79,0.01
60046,0.13,0.07,0.8,0.0
60047,0.13,0.08,0.0,0.79
60048,0.13,0.08,0.01,0.78
60049,0.13,0.08,0.02,0.77
60050,0.13,0.08,0.03,0.76
60051,0.13,0.08,0.04,0.75
60052,0.13,0.08,0.05,0.74
60053,0.13,0.08,0.06,0.73
60054,0.13,0.08,0.07,0.72
60055,0.13,0.08,0.08,0.71
60056,0.13,0.08,0.09,0.7
60057,0.13,0.08,0.1,0.69
60058,0.13,0.08,0.11,0.68
60059,0.13,0.08,0.12,0.67
60060,0.13,0.08,0.13,0.66
60061,0.13,0.08,0.14,0.65
60062,0.13,0.08,0.15,0.64
60063,0.13,0.08,0.16,0.63
60064,0.13,0.08,0.17,0.62
60065,0.13,0.08,0.18,0.61
60066,0.13,0.08,0.19,0.6
60067,0.13,0.08,0.2,0.59
60068,0.13,0.08,0.21,0.58
60069,0.13,0.08,0.22,0.57
60070,0.13,0.08,0.23,0.56
60071,0.13,0.08,0.24,0.55
60072,0.13,0.08,0.25,0.54
60073,0.13,0.08,0.26,0.53
60074,0.13,0.08,0.27,0.52
60075,0.13,0.08,0.28,0.51
60076,0.13,0.08,0.29,0.5
60077,0.13,0.08,0.3,0.49
60078,0.13,0.08,0.31,0.48
60079,0.13,0.08,0.32,0.47
60080,0.13,0.08,0.33,0.46
60081,0.13,0.08,0.34,0.45
60082,0.13,0.08,0.35,0.44
60083,0.13,0.08,0.36,0.43
60084,0.13,0.08,0.37,0.42
60085,0.13,0.08,0.38,0.41
60086,0.13,0.08,0.39,0.4
60087,0.13,0.08,0.4,0.39
60088,0.13,0.08,0.41,0.38
60089,0.13,0.08,0.42,0.37
60090,0.13,0.08,0.43,0.36
60091,0.13,0.08,0.44,0.35
60092,0.13,0.08,0.45,0.34
60093,0.13,0.08,0.46,0.33
60094,0.13,0.08,0.47,0.32
60095,0.13,0.08,0.48,0.31
60096,0.13,0.08,0.49,0.3
60097,0.13,0.08,0.5,0.29
60098,0.13,0.08,0.51,0.28
60099,0.13,0.08,0.52,0.27
60100,0.13,0.08,0.53,0.26
60101,0.13,0.08,0.54,0.25
60102,0.13,0.08,0.55,0.24
60103,0.13,0.08,0.56,0.23
60104,0.13,0.08,0.57,0.22
60105,0.13,0.08,0.58,0.21
60106,0.13,0.08,0.59,0.2
60107,0.13,0.08,0.6,0.19
60108,0.13,0.08,0.61,0.18
60109,0.13,0.08,0.62,0.17
60110,0.13,0.08,0.63,0.16
60111,0.13,0.08,0.64,0.15
60112,0.13,0.08,0.65,0.14
60113,0.13,0.08,0.66,0.13
60114,0.13,0.08,0.67,0.12
60115,0.13,0.08,0.68,0.11
60116,0.13,0.08,0.69,0.1
60117,0.13,0.08,0.7,0.09
60118,0.13,0.08,0.71,0.08
60119,0.13,0.08,0.72,0.07
60120,0.13,0.08,0.73,0.06
60121,0.13,0.08,0.74,0.05
60122,0.13,0.08,0.75,0.04
60123,0.13,0.08,0.76,0.03
60124,0.13,0.08,0.77,0.02
60125,0.13,0.08,0.78,0.01
60126,0.13,0.08,0.79,0.0
60127,0.13,0.09,0.0,0.78
60128,0.13,0.09,0.01,0.77
60129,0.13,0.09,0.02,0.76
60130,0.13,0.09,0.03,0.75
60131,0.13,0.09,0.04,0.74
60132,0.13,0.09,0.05,0.73
60133,0.13,0.09,0.06,0.72
60134,0.13,0.09,0.07,0.71
60135,0.13,0.09,0.08,0.7
60136,0.13,0.09,0.09,0.69
60137,0.13,0.09,0.1,0.68
60138,0.13,0.09,0.11,0.67
60139,0.13,0.09,0.12,0.66
60140,0.13,0.09,0.13,0.65
60141,0.13,0.09,0.14,0.64
60142,0.13,0.09,0.15,0.63
60143,0.13,0.09,0.16,0.62
60144,0.13,0.09,0.17,0.61
60145,0.13,0.09,0.18,0.6
60146,0.13,0.09,0.19,0.59
60147,0.13,0.09,0.2,0.58
60148,0.13,0.09,0.21,0.57
60149,0.13,0.09,0.22,0.56
60150,0.13,0.09,0.23,0.55
60151,0.13,0.09,0.24,0.54
