id,CATEGORY,SENTIMENT,SCORE,REVLEN
120000,0.32,0.04,0.34,0.3
120001,0.32,0.04,0.35,0.29
120002,0.32,0.04,0.36,0.28
120003,0.32,0.04,0.37,0.27
120004,0.32,0.04,0.38,0.26
120005,0.32,0.04,0.39,0.25
120006,0.32,0.04,0.4,0.24
120007,0.32,0.04,0.41,0.23
120008,0.32,0.04,0.42,0.22
120009,0.32,0.04,0.43,0.21
120010,0.32,0.04,0.44,0.2
120011,0.32,0.04,0.45,0.19
120012,0.32,0.04,0.46,0.18
120013,0.32,0.04,0.47,0.17
120014,0.32,0.04,0.48,0.16
120015,0.32,0.04,0.49,0.15
120016,0.32,0.04,0.5,0.14
120017,0.32,0.04,0.51,0.13
120018,0.32,0.04,0.52,0.12
120019,0.32,0.04,0.53,0.11
120020,0.32,0.04,0.54,0.1
120021,0.32,0.04,0.55,0.09
120022,0.32,0.04,0.56,0.08
120023,0.32,0.04,0.57,0.07
120024,0.32,0.04,0.58,0.06
120025,0.32,0.04,0.59,0.05
120026,0.32,0.04,0.6,0.04
120027,0.32,0.04,0.61,0.03
120028,0.32,0.04,0.62,0.02
120029,0.32,0.04,0.63,0.01
120030,0.32,0.04,0.64,0.0
120031,0.32,0.05,0.0,0.63
120032,0.32,0.05,0.01,0.62
120033,0.32,0.05,0.02,0.61
120034,0.32,0.05,0.03,0.6
120035,0.32,0.05,0.04,0.59
120036,0.32,0.05,0.05,0.58
120037,0.32,0.05,0.06,0.57
120038,0.32,0.05,0.07,0.56
120039,0.32,0.05,0.08,0.55
120040,0.32,0.05,0.09,0.54
120041,0.32,0.05,0.1,0.53
120042,0.32,0.05,0.11,0.52
120043,0.32,0.05,0.12,0.51
120044,0.32,0.05,0.13,0.5
120045,0.32,0.05,0.14,0.49
120046,0.32,0.05,0.15,0.48
120047,0.32,0.05,0.16,0.47
120048,0.32,0.05,0.17,0.46
120049,0.32,0.05,0.18,0.45
120050,0.32,0.05,0.19,0.44
120051,0.32,0.05,0.2,0.43
120052,0.32,0.05,0.21,0.42
120053,0.32,0.05,0.22,0.41
120054,0.32,0.05,0.23,0.4
120055,0.32,0.05,0.24,0.39
120056,0.32,0.05,0.25,0.38
120057,0.32,0.05,0.26,0.37
120058,0.32,0.05,0.27,0.36
120059,0.32,0.05,0.28,0.35
120060,0.32,0.05,0.29,0.34
120061,0.32,0.05,0.3,0.33
120062,0.32,0.05,0.31,0.32
120063,0.32,0.05,0.32,0.31
120064,0.32,0.05,0.33,0.3
120065,0.32,0.05,0.34,0.29
120066,0.32,0.05,0.35,0.28
120067,0.32,0.05,0.36,0.27
