id,CATEGORY,SENTIMENT,SCORE,REVLEN
50000,0.1,0.41,0.04,0.45
50001,0.1,0.41,0.05,0.44
50002,0.1,0.41,0.06,0.43
50003,0.1,0.41,0.07,0.42
50004,0.1,0.41,0.08,0.41
50005,0.1,0.41,0.09,0.4
50006,0.1,0.41,0.1,0.39
50007,0.1,0.41,0.11,0.38
50008,0.1,0.41,0.12,0.37
50009,0.1,0.41,0.13,0.36
50010,0.1,0.41,0.14,0.35
50011,0.1,0.41,0.15,0.34
50012,0.1,0.41,0.16,0.33
50013,0.1,0.41,0.17,0.32
50014,0.1,0.41,0.18,0.31
50015,0.1,0.41,0.19,0.3
50016,0.1,0.41,0.2,0.29
50017,0.1,0.41,0.21,0.28
50018,0.1,0.41,0.22,0.27
50019,0.1,0.41,0.23,0.26
50020,0.1,0.41,0.24,0.25
50021,0.1,0.41,0.25,0.24
50022,0.1,0.41,0.26,0.23
50023,0.1,0.41,0.27,0.22
50024,0.1,0.41,0.28,0.21
50025,0.1,0.41,0.29,0.2
50026,0.1,0.41,0.3,0.19
50027,0.1,0.41,0.31,0.18
50028,0.1,0.41,0.32,0.17
50029,0.1,0.41,0.33,0.16
50030,0.1,0.41,0.34,0.15
50031,0.1,0.41,0.35,0.14
50032,0.1,0.41,0.36,0.13
50033,0.1,0.41,0.37,0.12
50034,0.1,0.41,0.38,0.11
50035,0.1,0.41,0.39,0.1
50036,0.1,0.41,0.4,0.09
50037,0.1,0.41,0.41,0.08
50038,0.1,0.41,0.42,0.07
50039,0.1,0.41,0.43,0.06
50040,0.1,0.41,0.44,0.05
50041,0.1,0.41,0.45,0.04
50042,0.1,0.41,0.46,0.03
50043,0.1,0.41,0.47,0.02
50044,0.1,0.41,0.48,0.01
50045,0.1,0.41,0.49,0.0
50046,0.1,0.42,0.0,0.48
50047,0.1,0.42,0.01,0.47
50048,0.1,0.42,0.02,0.46
50049,0.1,0.42,0.03,0.45
50050,0.1,0.42,0.04,0.44
50051,0.1,0.42,0.05,0.43
50052,0.1,0.42,0.06,0.42
50053,0.1,0.42,0.07,0.41
50054,0.1,0.42,0.08,0.4
50055,0.1,0.42,0.09,0.39
50056,0.1,0.42,0.1,0.38
50057,0.1,0.42,0.11,0.37
50058,0.1,0.42,0.12,0.36
50059,0.1,0.42,0.13,0.35
50060,0.1,0.42,0.14,0.34
50061,0.1,0.42,0.15,0.33
50062,0.1,0.42,0.16,0.32
50063,0.1,0.42,0.17,0.31
50064,0.1,0.42,0.18,0.3
50065,0.1,0.42,0.19,0.29
50066,0.1,0.42,0.2,0.28
50067,0.1,0.42,0.21,0.27
50068,0.1,0.42,0.22,0.26
50069,0.1,0.42,0.23,0.25
50070,0.1,0.42,0.24,0.24
50071,0.1,0.42,0.25,0.23
50072,0.1,0.42,0.26,0.22
50073,0.1,0.42,0.27,0.21
50074,0.1,0.42,0.28,0.2
50075,0.1,0.42,0.29,0.19
50076,0.1,0.42,0.3,0.18
50077,0.1,0.42,0.31,0.17
50078,0.1,0.42,0.32,0.16
50079,0.1,0.42,0.33,0.15
50080,0.1,0.42,0.34,0.14
50081,0.1,0.42,0.35,0.13
50082,0.1,0.42,0.36,0.12
50083,0.1,0.42,0.37,0.11
50084,0.1,0.42,0.38,0.1
50085,0.1,0.42,0.39,0.09
50086,0.1,0.42,0.4,0.08
50087,0.1,0.42,0.41,0.07
50088,0.1,0.42,0.42,0.06
50089,0.1,0.42,0.43,0.05
50090,0.1,0.42,0.44,0.04
50091,0.1,0.42,0.45,0.03
50092,0.1,0.42,0.46,0.02
50093,0.1,0.42,0.47,0.01
50094,0.1,0.42,0.48,0.0
50095,0.1,0.43,0.0,0.47
50096,0.1,0.43,0.01,0.46
50097,0.1,0.43,0.02,0.45
50098,0.1,0.43,0.03,0.44
50099,0.1,0.43,0.04,0.43
50100,0.1,0.43,0.05,0.42
50101,0.1,0.43,0.06,0.41
50102,0.1,0.43,0.07,0.4
50103,0.1,0.43,0.08,0.39
50104,0.1,0.43,0.09,0.38
50105,0.1,0.43,0.1,0.37
50106,0.1,0.43,0.11,0.36
50107,0.1,0.43,0.12,0.35
50108,0.1,0.43,0.13,0.34
50109,0.1,0.43,0.14,0.33
50110,0.1,0.43,0.15,0.32
50111,0.1,0.43,0.16,0.31
50112,0.1,0.43,0.17,0.3
50113,0.1,0.43,0.18,0.29
50114,0.1,0.43,0.19,0.28
50115,0.1,0.43,0.2,0.27
50116,0.1,0.43,0.21,0.26
50117,0.1,0.43,0.22,0.25
50118,0.1,0.43,0.23,0.24
50119,0.1,0.43,0.24,0.23
50120,0.1,0.43,0.25,0.22
50121,0.1,0.43,0.26,0.21
50122,0.1,0.43,0.27,0.2
50123,0.1,0.43,0.28,0.19
50124,0.1,0.43,0.29,0.18
50125,0.1,0.43,0.3,0.17
50126,0.1,0.43,0.31,0.16
50127,0.1,0.43,0.32,0.15
50128,0.1,0.43,0.33,0.14
50129,0.1,0.43,0.34,0.13
50130,0.1,0.43,0.35,0.12
50131,0.1,0.43,0.36,0.11
50132,0.1,0.43,0.37,0.1
50133,0.1,0.43,0.38,0.09
50134,0.1,0.43,0.39,0.08
50135,0.1,0.43,0.4,0.07
50136,0.1,0.43,0.41,0.06
50137,0.1,0.43,0.42,0.05
50138,0.1,0.43,0.43,0.04
50139,0.1,0.43,0.44,0.03
50140,0.1,0.43,0.45,0.02
50141,0.1,0.43,0.46,0.01
50142,0.1,0.43,0.47,0.0
50143,0.1,0.44,0.0,0.46
50144,0.1,0.44,0.01,0.45
50145,0.1,0.44,0.02,0.44
50146,0.1,0.44,0.03,0.43
50147,0.1,0.44,0.04,0.42
50148,0.1,0.44,0.05,0.41
50149,0.1,0.44,0.06,0.4
50150,0.1,0.44,0.07,0.39
50151,0.1,0.44,0.08,0.38
50152,0.1,0.44,0.09,0.37
50153,0.1,0.44,0.1,0.36
50154,0.1,0.44,0.11,0.35
50155,0.1,0.44,0.12,0.34
50156,0.1,0.44,0.13,0.33
50157,0.1,0.44,0.14,0.32
50158,0.1,0.44,0.15,0.31
50159,0.1,0.44,0.16,0.3
50160,0.1,0.44,0.17,0.29
50161,0.1,0.44,0.18,0.28
50162,0.1,0.44,0.19,0.27
50163,0.1,0.44,0.2,0.26
50164,0.1,0.44,0.21,0.25
50165,0.1,0.44,0.22,0.24
50166,0.1,0.44,0.23,0.23
50167,0.1,0.44,0.24,0.22
50168,0.1,0.44,0.25,0.21
50169,0.1,0.44,0.26,0.2
50170,0.1,0.44,0.27,0.19
50171,0.1,0.44,0.28,0.18
50172,0.1,0.44,0.29,0.17
50173,0.1,0.44,0.3,0.16
50174,0.1,0.44,0.31,0.15
50175,0.1,0.44,0.32,0.14
50176,0.1,0.44,0.33,0.13
50177,0.1,0.44,0.34,0.12
50178,0.1,0.44,0.35,0.11
50179,0.1,0.44,0.36,0.1
50180,0.1,0.44,0.37,0.09
50181,0.1,0.44,0.38,0.08
50182,0.1,0.44,0.39,0.07
50183,0.1,0.44,0.4,0.06
50184,0.1,0.44,0.41,0.05
50185,0.1,0.44,0.42,0.04
50186,0.1,0.44,0.43,0.03
50187,0.1,0.44,0.44,0.02
50188,0.1,0.44,0.45,0.01
50189,0.1,0.44,0.46,0.0
50190,0.1,0.45,0.0,0.45
50191,0.1,0.45,0.01,0.44
50192,0.1,0.45,0.02,0.43
50193,0.1,0.45,0.03,0.42
50194,0.1,0.45,0.04,0.41
50195,0.1,0.45,0.05,0.4
50196,0.1,0.45,0.06,0.39
50197,0.1,0.45,0.07,0.38
50198,0.1,0.45,0.08,0.37
50199,0.1,0.45,0.09,0.36
50200,0.1,0.45,0.1,0.35
50201,0.1,0.45,0.11,0.34
50202,0.1,0.45,0.12,0.33
50203,0.1,0.45,0.13,0.32
50204,0.1,0.45,0.14,0.31
50205,0.1,0.45,0.15,0.3
50206,0.1,0.45,0.16,0.29
50207,0.1,0.45,0.17,0.28
50208,0.1,0.45,0.18,0.27
50209,0.1,0.45,0.19,0.26
50210,0.1,0.45,0.2,0.25
50211,0.1,0.45,0.21,0.24
50212,0.1,0.45,0.22,0.23
50213,0.1,0.45,0.23,0.22
50214,0.1,0.45,0.24,0.21
50215,0.1,0.45,0.25,0.2
50216,0.1,0.45,0.26,0.19
50217,0.1,0.45,0.27,0.18
50218,0.1,0.45,0.28,0.17
50219,0.1,0.45,0.29,0.16
50220,0.1,0.45,0.3,0.15
50221,0.1,0.45,0.31,0.14
50222,0.1,0.45,0.32,0.13
50223,0.1,0.45,0.33,0.12
50224,0.1,0.45,0.34,0.11
50225,0.1,0.45,0.35,0.1
50226,0.1,0.45,0.36,0.09
50227,0.1,0.45,0.37,0.08
50228,0.1,0.45,0.38,0.07
50229,0.1,0.45,0.39,0.06
50230,0.1,0.45,0.4,0.05
50231,0.1,0.45,0.41,0.04
50232,0.1,0.45,0.42,0.03
50233,0.1,0.45,0.43,0.02
50234,0.1,0.45,0.44,0.01
50235,0.1,0.45,0.45,0.0
50236,0.1,0.46,0.0,0.44
50237,0.1,0.46,0.01,0.43
50238,0.1,0.46,0.02,0.42
50239,0.1,0.46,0.03,0.41
50240,0.1,0.46,0.04,0.4
50241,0.1,0.46,0.05,0.39
50242,0.1,0.46,0.06,0.38
50243,0.1,0.46,0.07,0.37
50244,0.1,0.46,0.08,0.36
50245,0.1,0.46,0.09,0.35
50246,0.1,0.46,0.1,0.34
50247,0.1,0.46,0.11,0.33
50248,0.1,0.46,0.12,0.32
50249,0.1,0.46,0.13,0.31
50250,0.1,0.46,0.14,0.3
50251,0.1,0.46,0.15,0.29
50252,0.1,0.46,0.16,0.28
50253,0.1,0.46,0.17,0.27
50254,0.1,0.46,0.18,0.26
50255,0.1,0.46,0.19,0.25
50256,0.1,0.46,0.2,0.24
50257,0.1,0.46,0.21,0.23
50258,0.1,0.46,0.22,0.22
50259,0.1,0.46,0.23,0.21
50260,0.1,0.46,0.24,0.2
50261,0.1,0.46,0.25,0.19
50262,0.1,0.46,0.26,0.18
50263,0.1,0.46,0.27,0.17
50264,0.1,0.46,0.28,0.16
50265,0.1,0.46,0.29,0.15
50266,0.1,0.46,0.3,0.14
50267,0.1,0.46,0.31,0.13
50268,0.1,0.46,0.32,0.12
50269,0.1,0.46,0.33,0.11
50270,0.1,0.46,0.34,0.1
50271,0.1,0.46,0.35,0.09
50272,0.1,0.46,0.36,0.08
50273,0.1,0.46,0.37,0.07
50274,0.1,0.46,0.38,0.06
50275,0.1,0.46,0.39,0.05
50276,0.1,0.46,0.4,0.04
50277,0.1,0.46,0.41,0.03
50278,0.1,0.46,0.42,0.02
50279,0.1,0.46,0.43,0.01
50280,0.1,0.46,0.44,0.0
50281,0.1,0.47,0.0,0.43
50282,0.1,0.47,0.01,0.42
50283,0.1,0.47,0.02,0.41
50284,0.1,0.47,0.03,0.4
50285,0.1,0.47,0.04,0.39
