id,CATEGORY,SENTIMENT,SCORE,REVLEN
10000,0.01,0.8,0.09,0.1
10001,0.01,0.8,0.1,0.09
10002,0.01,0.8,0.11,0.08
10003,0.01,0.8,0.12,0.07
10004,0.01,0.8,0.13,0.06
10005,0.01,0.8,0.14,0.05
10006,0.01,0.8,0.15,0.04
10007,0.01,0.8,0.16,0.03
10008,0.01,0.8,0.17,0.02
10009,0.01,0.8,0.18,0.01
10010,0.01,0.8,0.19,0.0
10011,0.01,0.81,0.0,0.18
10012,0.01,0.81,0.01,0.17
10013,0.01,0.81,0.02,0.16
10014,0.01,0.81,0.03,0.15
10015,0.01,0.81,0.04,0.14
10016,0.01,0.81,0.05,0.13
10017,0.01,0.81,0.06,0.12
10018,0.01,0.81,0.07,0.11
10019,0.01,0.81,0.08,0.1
10020,0.01,0.81,0.09,0.09
10021,0.01,0.81,0.1,0.08
10022,0.01,0.81,0.11,0.07
10023,0.01,0.81,0.12,0.06
10024,0.01,0.81,0.13,0.05
10025,0.01,0.81,0.14,0.04
10026,0.01,0.81,0.15,0.03
10027,0.01,0.81,0.16,0.02
10028,0.01,0.81,0.17,0.01
10029,0.01,0.81,0.18,0.0
10030,0.01,0.82,0.0,0.17
10031,0.01,0.82,0.01,0.16
10032,0.01,0.82,0.02,0.15
10033,0.01,0.82,0.03,0.14
10034,0.01,0.82,0.04,0.13
10035,0.01,0.82,0.05,0.12
10036,0.01,0.82,0.06,0.11
10037,0.01,0.82,0.07,0.1
10038,0.01,0.82,0.08,0.09
10039,0.01,0.82,0.09,0.08
10040,0.01,0.82,0.1,0.07
10041,0.01,0.82,0.11,0.06
10042,0.01,0.82,0.12,0.05
10043,0.01,0.82,0.13,0.04
10044,0.01,0.82,0.14,0.03
10045,0.01,0.82,0.15,0.02
10046,0.01,0.82,0.16,0.01
10047,0.01,0.82,0.17,0.0
10048,0.01,0.83,0.0,0.16
10049,0.01,0.83,0.01,0.15
10050,0.01,0.83,0.02,0.14
10051,0.01,0.83,0.03,0.13
10052,0.01,0.83,0.04,0.12
10053,0.01,0.83,0.05,0.11
10054,0.01,0.83,0.06,0.1
10055,0.01,0.83,0.07,0.09
10056,0.01,0.83,0.08,0.08
10057,0.01,0.83,0.09,0.07
10058,0.01,0.83,0.1,0.06
10059,0.01,0.83,0.11,0.05
10060,0.01,0.83,0.12,0.04
10061,0.01,0.83,0.13,0.03
10062,0.01,0.83,0.14,0.02
10063,0.01,0.83,0.15,0.01
10064,0.01,0.83,0.16,0.0
10065,0.01,0.84,0.0,0.15
10066,0.01,0.84,0.01,0.14
10067,0.01,0.84,0.02,0.13
10068,0.01,0.84,0.03,0.12
10069,0.01,0.84,0.04,0.11
10070,0.01,0.84,0.05,0.1
10071,0.01,0.84,0.06,0.09
10072,0.01,0.84,0.07,0.08
10073,0.01,0.84,0.08,0.07
10074,0.01,0.84,0.09,0.06
10075,0.01,0.84,0.1,0.05
10076,0.01,0.84,0.11,0.04
10077,0.01,0.84,0.12,0.03
10078,0.01,0.84,0.13,0.02
10079,0.01,0.84,0.14,0.01
10080,0.01,0.84,0.15,0.0
10081,0.01,0.85,0.0,0.14
10082,0.01,0.85,0.01,0.13
10083,0.01,0.85,0.02,0.12
10084,0.01,0.85,0.03,0.11
10085,0.01,0.85,0.04,0.1
10086,0.01,0.85,0.05,0.09
10087,0.01,0.85,0.06,0.08
10088,0.01,0.85,0.07,0.07
10089,0.01,0.85,0.08,0.06
10090,0.01,0.85,0.09,0.05
10091,0.01,0.85,0.1,0.04
10092,0.01,0.85,0.11,0.03
10093,0.01,0.85,0.12,0.02
10094,0.01,0.85,0.13,0.01
10095,0.01,0.85,0.14,0.0
10096,0.01,0.86,0.0,0.13
10097,0.01,0.86,0.01,0.12
10098,0.01,0.86,0.02,0.11
10099,0.01,0.86,0.03,0.1
10100,0.01,0.86,0.04,0.09
10101,0.01,0.86,0.05,0.08
10102,0.01,0.86,0.06,0.07
10103,0.01,0.86,0.07,0.06
10104,0.01,0.86,0.08,0.05
10105,0.01,0.86,0.09,0.04
10106,0.01,0.86,0.1,0.03
10107,0.01,0.86,0.11,0.02
10108,0.01,0.86,0.12,0.01
10109,0.01,0.86,0.13,0.0
10110,0.01,0.87,0.0,0.12
10111,0.01,0.87,0.01,0.11
10112,0.01,0.87,0.02,0.1
10113,0.01,0.87,0.03,0.09
10114,0.01,0.87,0.04,0.08
10115,0.01,0.87,0.05,0.07
10116,0.01,0.87,0.06,0.06
10117,0.01,0.87,0.07,0.05
10118,0.01,0.87,0.08,0.04
10119,0.01,0.87,0.09,0.03
10120,0.01,0.87,0.1,0.02
10121,0.01,0.87,0.11,0.01
10122,0.01,0.87,0.12,0.0
10123,0.01,0.88,0.0,0.11
10124,0.01,0.88,0.01,0.1
10125,0.01,0.88,0.02,0.09
10126,0.01,0.88,0.03,0.08
10127,0.01,0.88,0.04,0.07
10128,0.01,0.88,0.05,0.06
10129,0.01,0.88,0.06,0.05
10130,0.01,0.88,0.07,0.04
10131,0.01,0.88,0.08,0.03
10132,0.01,0.88,0.09,0.02
10133,0.01,0.88,0.1,0.01
10134,0.01,0.88,0.11,0.0
10135,0.01,0.89,0.0,0.1
10136,0.01,0.89,0.01,0.09
10137,0.01,0.89,0.02,0.08
10138,0.01,0.89,0.03,0.07
10139,0.01,0.89,0.04,0.06
10140,0.01,0.89,0.05,0.05
10141,0.01,0.89,0.06,0.04
10142,0.01,0.89,0.07,0.03
10143,0.01,0.89,0.08,0.02
10144,0.01,0.89,0.09,0.01
10145,0.01,0.89,0.1,0.0
10146,0.01,0.9,0.0,0.09
10147,0.01,0.9,0.01,0.08
10148,0.01,0.9,0.02,0.07
10149,0.01,0.9,0.03,0.06
10150,0.01,0.9,0.04,0.05
10151,0.01,0.9,0.05,0.04
10152,0.01,0.9,0.06,0.03
10153,0.01,0.9,0.07,0.02
10154,0.01,0.9,0.08,0.01
10155,0.01,0.9,0.09,0.0
10156,0.01,0.91,0.0,0.08
10157,0.01,0.91,0.01,0.07
10158,0.01,0.91,0.02,0.06
10159,0.01,0.91,0.03,0.05
10160,0.01,0.91,0.04,0.04
10161,0.01,0.91,0.05,0.03
10162,0.01,0.91,0.06,0.02
10163,0.01,0.91,0.07,0.01
10164,0.01,0.91,0.08,0.0
10165,0.01,0.92,0.0,0.07
10166,0.01,0.92,0.01,0.06
10167,0.01,0.92,0.02,0.05
10168,0.01,0.92,0.03,0.04
10169,0.01,0.92,0.04,0.03
10170,0.01,0.92,0.05,0.02
10171,0.01,0.92,0.06,0.01
10172,0.01,0.92,0.07,0.0
10173,0.01,0.93,0.0,0.06
10174,0.01,0.93,0.01,0.05
10175,0.01,0.93,0.02,0.04
10176,0.01,0.93,0.03,0.03
10177,0.01,0.93,0.04,0.02
10178,0.01,0.93,0.05,0.01
10179,0.01,0.93,0.06,0.0
10180,0.01,0.94,0.0,0.05
10181,0.01,0.94,0.01,0.04
10182,0.01,0.94,0.02,0.03
10183,0.01,0.94,0.03,0.02
10184,0.01,0.94,0.04,0.01
10185,0.01,0.94,0.05,0.0
10186,0.01,0.95,0.0,0.04
10187,0.01,0.95,0.01,0.03
10188,0.01,0.95,0.02,0.02
10189,0.01,0.95,0.03,0.01
10190,0.01,0.95,0.04,0.0
10191,0.01,0.96,0.0,0.03
10192,0.01,0.96,0.01,0.02
10193,0.01,0.96,0.02,0.01
10194,0.01,0.96,0.03,0.0
10195,0.01,0.97,0.0,0.02
10196,0.01,0.97,0.01,0.01
10197,0.01,0.97,0.02,0.0
10198,0.01,0.98,0.0,0.01
10199,0.01,0.98,0.01,0.0
10200,0.01,0.99,0.0,0.0
10201,0.02,0.0,0.0,0.98
10202,0.02,0.0,0.01,0.97
10203,0.02,0.0,0.02,0.96
10204,0.02,0.0,0.03,0.95
10205,0.02,0.0,0.04,0.94
10206,0.02,0.0,0.05,0.93
10207,0.02,0.0,0.06,0.92
10208,0.02,0.0,0.07,0.91
10209,0.02,0.0,0.08,0.9
10210,0.02,0.0,0.09,0.89
10211,0.02,0.0,0.1,0.88
10212,0.02,0.0,0.11,0.87
10213,0.02,0.0,0.12,0.86
10214,0.02,0.0,0.13,0.85
10215,0.02,0.0,0.14,0.84
10216,0.02,0.0,0.15,0.83
10217,0.02,0.0,0.16,0.82
10218,0.02,0.0,0.17,0.81
10219,0.02,0.0,0.18,0.8
10220,0.02,0.0,0.19,0.79
10221,0.02,0.0,0.2,0.78
10222,0.02,0.0,0.21,0.77
10223,0.02,0.0,0.22,0.76
10224,0.02,0.0,0.23,0.75
10225,0.02,0.0,0.24,0.74
10226,0.02,0.0,0.25,0.73
10227,0.02,0.0,0.26,0.72
10228,0.02,0.0,0.27,0.71
10229,0.02,0.0,0.28,0.7
10230,0.02,0.0,0.29,0.69
10231,0.02,0.0,0.3,0.68
10232,0.02,0.0,0.31,0.67
10233,0.02,0.0,0.32,0.66
10234,0.02,0.0,0.33,0.65
10235,0.02,0.0,0.34,0.64
10236,0.02,0.0,0.35,0.63
10237,0.02,0.0,0.36,0.62
10238,0.02,0.0,0.37,0.61
10239,0.02,0.0,0.38,0.6
10240,0.02,0.0,0.39,0.59
10241,0.02,0.0,0.4,0.58
10242,0.02,0.0,0.41,0.57
10243,0.02,0.0,0.42,0.56
10244,0.02,0.0,0.43,0.55
10245,0.02,0.0,0.44,0.54
10246,0.02,0.0,0.45,0.53
10247,0.02,0.0,0.46,0.52
10248,0.02,0.0,0.47,0.51
10249,0.02,0.0,0.48,0.5
10250,0.02,0.0,0.49,0.49
10251,0.02,0.0,0.5,0.48
10252,0.02,0.0,0.51,0.47
10253,0.02,0.0,0.52,0.46
10254,0.02,0.0,0.53,0.45
10255,0.02,0.0,0.54,0.44
10256,0.02,0.0,0.55,0.43
10257,0.02,0.0,0.56,0.42
10258,0.02,0.0,0.57,0.41
10259,0.02,0.0,0.58,0.4
10260,0.02,0.0,0.59,0.39
10261,0.02,0.0,0.6,0.38
10262,0.02,0.0,0.61,0.37
10263,0.02,0.0,0.62,0.36
10264,0.02,0.0,0.63,0.35
10265,0.02,0.0,0.64,0.34
10266,0.02,0.0,0.65,0.33
10267,0.02,0.0,0.66,0.32
10268,0.02,0.0,0.67,0.31
10269,0.02,0.0,0.68,0.3
10270,0.02,0.0,0.69,0.29
10271,0.02,0.0,0.7,0.28
10272,0.02,0.0,0.71,0.27
10273,0.02,0.0,0.72,0.26
10274,0.02,0.0,0.73,0.25
10275,0.02,0.0,0.74,0.24
10276,0.02,0.0,0.75,0.23
10277,0.02,0.0,0.76,0.22
10278,0.02,0.0,0.77,0.21
10279,0.02,0.0,0.78,0.2
10280,0.02,0.0,0.79,0.19
10281,0.02,0.0,0.8,0.18
10282,0.02,0.0,0.81,0.17
10283,0.02,0.0,0.82,0.16
10284,0.02,0.0,0.83,0.15
10285,0.02,0.0,0.84,0.14
10286,0.02,0.0,0.85,0.13
10287,0.02,0.0,0.86,0.12
10288,0.02,0.0,0.87,0.11
10289,0.02,0.0,0.88,0.1
10290,0.02,0.0,0.89,0.09
10291,0.02,0.0,0.9,0.08
10292,0.02,0.0,0.91,0.07
10293,0.02,0.0,0.92,0.06
10294,0.02,0.0,0.93,0.05
10295,0.02,0.0,0.94,0.04
10296,0.02,0.0,0.95,0.03
10297,0.02,0.0,0.96,0.02
10298,0.02,0.0,0.97,0.01
10299,0.02,0.0,0.98,0.0
10300,0.02,0.01,0.0,0.97
10301,0.02,0.01,0.01,0.96
10302,0.02,0.01,0.02,0.95
10303,0.02,0.01,0.03,0.94
10304,0.02,0.01,0.04,0.93
10305,0.02,0.01,0.05,0.92
10306,0.02,0.01,0.06,0.91
10307,0.02,0.01,0.07,0.9
10308,0.02,0.01,0.08,0.89
10309,0.02,0.01,0.09,0.88
10310,0.02,0.01,0.1,0.87
10311,0.02,0.01,0.11,0.86
10312,0.02,0.01,0.12,0.85
10313,0.02,0.01,0.13,0.84
10314,0.02,0.01,0.14,0.83
10315,0.02,0.01,0.15,0.82
10316,0.02,0.01,0.16,0.81
10317,0.02,0.01,0.17,0.8
10318,0.02,0.01,0.18,0.79
10319,0.02,0.01,0.19,0.78
10320,0.02,0.01,0.2,0.77
10321,0.02,0.01,0.21,0.76
10322,0.02,0.01,0.22,0.75
10323,0.02,0.01,0.23,0.74
10324,0.02,0.01,0.24,0.73
10325,0.02,0.01,0.25,0.72
10326,0.02,0.01,0.26,0.71
10327,0.02,0.01,0.27,0.7
10328,0.02,0.01,0.28,0.69
10329,0.02,0.01,0.29,0.68
10330,0.02,0.01,0.3,0.67
10331,0.02,0.01,0.31,0.66
10332,0.02,0.01,0.32,0.65
10333,0.02,0.01,0.33,0.64
10334,0.02,0.01,0.34,0.63
10335,0.02,0.01,0.35,0.62
10336,0.02,0.01,0.36,0.61
10337,0.02,0.01,0.37,0.6
10338,0.02,0.01,0.38,0.59
10339,0.02,0.01,0.39,0.58
10340,0.02,0.01,0.4,0.57
10341,0.02,0.01,0.41,0.56
10342,0.02,0.01,0.42,0.55
10343,0.02,0.01,0.43,0.54
10344,0.02,0.01,0.44,0.53
10345,0.02,0.01,0.45,0.52
10346,0.02,0.01,0.46,0.51
10347,0.02,0.01,0.47,0.5
10348,0.02,0.01,0.48,0.49
10349,0.02,0.01,0.49,0.48
10350,0.02,0.01,0.5,0.47
10351,0.02,0.01,0.51,0.46
10352,0.02,0.01,0.52,0.45
10353,0.02,0.01,0.53,0.44
10354,0.02,0.01,0.54,0.43
10355,0.02,0.01,0.55,0.42
10356,0.02,0.01,0.56,0.41
10357,0.02,0.01,0.57,0.4
10358,0.02,0.01,0.58,0.39
