id,CATEGORY,SENTIMENT,SCORE,REVLEN
40000,0.08,0.18,0.43,0.31
40001,0.08,0.18,0.44,0.3
40002,0.08,0.18,0.45,0.29
40003,0.08,0.18,0.46,0.28
40004,0.08,0.18,0.47,0.27
40005,0.08,0.18,0.48,0.26
40006,0.08,0.18,0.49,0.25
40007,0.08,0.18,0.5,0.24
40008,0.08,0.18,0.51,0.23
40009,0.08,0.18,0.52,0.22
40010,0.08,0.18,0.53,0.21
40011,0.08,0.18,0.54,0.2
40012,0.08,0.18,0.55,0.19
40013,0.08,0.18,0.56,0.18
40014,0.08,0.18,0.57,0.17
40015,0.08,0.18,0.58,0.16
40016,0.08,0.18,0.59,0.15
40017,0.08,0.18,0.6,0.14
40018,0.08,0.18,0.61,0.13
40019,0.08,0.18,0.62,0.12
40020,0.08,0.18,0.63,0.11
40021,0.08,0.18,0.64,0.1
40022,0.08,0.18,0.65,0.09
40023,0.08,0.18,0.66,0.08
40024,0.08,0.18,0.67,0.07
40025,0.08,0.18,0.68,0.06
40026,0.08,0.18,0.69,0.05
40027,0.08,0.18,0.7,0.04
40028,0.08,0.18,0.71,0.03
40029,0.08,0.18,0.72,0.02
40030,0.08,0.18,0.73,0.01
40031,0.08,0.18,0.74,0.0
40032,0.08,0.19,0.0,0.73
40033,0.08,0.19,0.01,0.72
40034,0.08,0.19,0.02,0.71
40035,0.08,0.19,0.03,0.7
40036,0.08,0.19,0.04,0.69
40037,0.08,0.19,0.05,0.68
40038,0.08,0.19,0.06,0.67
40039,0.08,0.19,0.07,0.66
40040,0.08,0.19,0.08,0.65
40041,0.08,0.19,0.09,0.64
40042,0.08,0.19,0.1,0.63
40043,0.08,0.19,0.11,0.62
40044,0.08,0.19,0.12,0.61
40045,0.08,0.19,0.13,0.6
40046,0.08,0.19,0.14,0.59
40047,0.08,0.19,0.15,0.58
40048,0.08,0.19,0.16,0.57
40049,0.08,0.19,0.17,0.56
40050,0.08,0.19,0.18,0.55
40051,0.08,0.19,0.19,0.54
40052,0.08,0.19,0.2,0.53
40053,0.08,0.19,0.21,0.52
40054,0.08,0.19,0.22,0.51
40055,0.08,0.19,0.23,0.5
40056,0.08,0.19,0.24,0.49
40057,0.08,0.19,0.25,0.48
40058,0.08,0.19,0.26,0.47
40059,0.08,0.19,0.27,0.46
40060,0.08,0.19,0.28,0.45
40061,0.08,0.19,0.29,0.44
40062,0.08,0.19,0.3,0.43
40063,0.08,0.19,0.31,0.42
40064,0.08,0.19,0.32,0.41
40065,0.08,0.19,0.33,0.4
40066,0.08,0.19,0.34,0.39
40067,0.08,0.19,0.35,0.38
40068,0.08,0.19,0.36,0.37
40069,0.08,0.19,0.37,0.36
40070,0.08,0.19,0.38,0.35
40071,0.08,0.19,0.39,0.34
40072,0.08,0.19,0.4,0.33
40073,0.08,0.19,0.41,0.32
40074,0.08,0.19,0.42,0.31
40075,0.08,0.19,0.43,0.3
40076,0.08,0.19,0.44,0.29
40077,0.08,0.19,0.45,0.28
40078,0.08,0.19,0.46,0.27
40079,0.08,0.19,0.47,0.26
40080,0.08,0.19,0.48,0.25
40081,0.08,0.19,0.49,0.24
40082,0.08,0.19,0.5,0.23
40083,0.08,0.19,0.51,0.22
40084,0.08,0.19,0.52,0.21
40085,0.08,0.19,0.53,0.2
40086,0.08,0.19,0.54,0.19
40087,0.08,0.19,0.55,0.18
40088,0.08,0.19,0.56,0.17
40089,0.08,0.19,0.57,0.16
40090,0.08,0.19,0.58,0.15
40091,0.08,0.19,0.59,0.14
40092,0.08,0.19,0.6,0.13
40093,0.08,0.19,0.61,0.12
40094,0.08,0.19,0.62,0.11
40095,0.08,0.19,0.63,0.1
40096,0.08,0.19,0.64,0.09
40097,0.08,0.19,0.65,0.08
40098,0.08,0.19,0.66,0.07
40099,0.08,0.19,0.67,0.06
40100,0.08,0.19,0.68,0.05
40101,0.08,0.19,0.69,0.04
40102,0.08,0.19,0.7,0.03
40103,0.08,0.19,0.71,0.02
40104,0.08,0.19,0.72,0.01
40105,0.08,0.19,0.73,0.0
40106,0.08,0.2,0.0,0.72
40107,0.08,0.2,0.01,0.71
40108,0.08,0.2,0.02,0.7
40109,0.08,0.2,0.03,0.69
40110,0.08,0.2,0.04,0.68
40111,0.08,0.2,0.05,0.67
40112,0.08,0.2,0.06,0.66
40113,0.08,0.2,0.07,0.65
40114,0.08,0.2,0.08,0.64
40115,0.08,0.2,0.09,0.63
40116,0.08,0.2,0.1,0.62
40117,0.08,0.2,0.11,0.61
40118,0.08,0.2,0.12,0.6
40119,0.08,0.2,0.13,0.59
40120,0.08,0.2,0.14,0.58
40121,0.08,0.2,0.15,0.57
40122,0.08,0.2,0.16,0.56
40123,0.08,0.2,0.17,0.55
40124,0.08,0.2,0.18,0.54
40125,0.08,0.2,0.19,0.53
40126,0.08,0.2,0.2,0.52
40127,0.08,0.2,0.21,0.51
40128,0.08,0.2,0.22,0.5
40129,0.08,0.2,0.23,0.49
40130,0.08,0.2,0.24,0.48
40131,0.08,0.2,0.25,0.47
40132,0.08,0.2,0.26,0.46
40133,0.08,0.2,0.27,0.45
40134,0.08,0.2,0.28,0.44
40135,0.08,0.2,0.29,0.43
40136,0.08,0.2,0.3,0.42
40137,0.08,0.2,0.31,0.41
40138,0.08,0.2,0.32,0.4
40139,0.08,0.2,0.33,0.39
40140,0.08,0.2,0.34,0.38
40141,0.08,0.2,0.35,0.37
40142,0.08,0.2,0.36,0.36
40143,0.08,0.2,0.37,0.35
40144,0.08,0.2,0.38,0.34
40145,0.08,0.2,0.39,0.33
40146,0.08,0.2,0.4,0.32
40147,0.08,0.2,0.41,0.31
40148,0.08,0.2,0.42,0.3
40149,0.08,0.2,0.43,0.29
40150,0.08,0.2,0.44,0.28
40151,0.08,0.2,0.45,0.27
