id,CATEGORY,SENTIMENT,SCORE,REVLEN
80000,0.18,0.27,0.29,0.26
80001,0.18,0.27,0.3,0.25
80002,0.18,0.27,0.31,0.24
80003,0.18,0.27,0.32,0.23
80004,0.18,0.27,0.33,0.22
80005,0.18,0.27,0.34,0.21
80006,0.18,0.27,0.35,0.2
80007,0.18,0.27,0.36,0.19
80008,0.18,0.27,0.37,0.18
80009,0.18,0.27,0.38,0.17
80010,0.18,0.27,0.39,0.16
80011,0.18,0.27,0.4,0.15
80012,0.18,0.27,0.41,0.14
80013,0.18,0.27,0.42,0.13
80014,0.18,0.27,0.43,0.12
80015,0.18,0.27,0.44,0.11
80016,0.18,0.27,0.45,0.1
80017,0.18,0.27,0.46,0.09
80018,0.18,0.27,0.47,0.08
80019,0.18,0.27,0.48,0.07
80020,0.18,0.27,0.49,0.06
80021,0.18,0.27,0.5,0.05
80022,0.18,0.27,0.51,0.04
80023,0.18,0.27,0.52,0.03
80024,0.18,0.27,0.53,0.02
80025,0.18,0.27,0.54,0.01
80026,0.18,0.27,0.55,0.0
80027,0.18,0.28,0.0,0.54
80028,0.18,0.28,0.01,0.53
80029,0.18,0.28,0.02,0.52
80030,0.18,0.28,0.03,0.51
80031,0.18,0.28,0.04,0.5
80032,0.18,0.28,0.05,0.49
80033,0.18,0.28,0.06,0.48
80034,0.18,0.28,0.07,0.47
80035,0.18,0.28,0.08,0.46
80036,0.18,0.28,0.09,0.45
80037,0.18,0.28,0.1,0.44
80038,0.18,0.28,0.11,0.43
80039,0.18,0.28,0.12,0.42
80040,0.18,0.28,0.13,0.41
80041,0.18,0.28,0.14,0.4
80042,0.18,0.28,0.15,0.39
80043,0.18,0.28,0.16,0.38
80044,0.18,0.28,0.17,0.37
80045,0.18,0.28,0.18,0.36
80046,0.18,0.28,0.19,0.35
80047,0.18,0.28,0.2,0.34
80048,0.18,0.28,0.21,0.33
80049,0.18,0.28,0.22,0.32
80050,0.18,0.28,0.23,0.31
80051,0.18,0.28,0.24,0.3
80052,0.18,0.28,0.25,0.29
80053,0.18,0.28,0.26,0.28
80054,0.18,0.28,0.27,0.27
80055,0.18,0.28,0.28,0.26
80056,0.18,0.28,0.29,0.25
80057,0.18,0.28,0.3,0.24
80058,0.18,0.28,0.31,0.23
80059,0.18,0.28,0.32,0.22
80060,0.18,0.28,0.33,0.21
80061,0.18,0.28,0.34,0.2
80062,0.18,0.28,0.35,0.19
80063,0.18,0.28,0.36,0.18
80064,0.18,0.28,0.37,0.17
80065,0.18,0.28,0.38,0.16
80066,0.18,0.28,0.39,0.15
80067,0.18,0.28,0.4,0.14
80068,0.18,0.28,0.41,0.13
80069,0.18,0.28,0.42,0.12
80070,0.18,0.28,0.43,0.11
