RankingFuncionPesos,ndcg
150000,0.9736357671841781
150001,0.973446203950017
150002,0.9724577598600566
150003,0.9722475045964101
150004,0.972018778453942
150005,0.9716218563474603
150006,0.971418401285794
150007,0.9712188599508843
150008,0.9712552453058534
150009,0.9712480451303113
150010,0.971259022864433
150011,0.9711882125914775
150012,0.9706076310861286
150013,0.9703982489256323
150014,0.9702112338654884
150015,0.9702424932997146
150016,0.9697284610493383
150017,0.9690914430553633
150018,0.9684659314486807
150019,0.9679041946152412
150020,0.9604727836120193
150021,0.9781420374831614
150022,0.979195603195029
150023,0.9794643583406175
150024,0.9785278956043855
150025,0.9786084425147107
150026,0.9784959274489824
150027,0.9771596601314534
150028,0.9764640673829912
150029,0.9766577850712669
150030,0.9756657483341925
150031,0.9750972859511726
150032,0.9748223031557386
150033,0.9740753181980589
150034,0.9739083871011289
150035,0.9727270784848355
150036,0.9726631393204561
150037,0.9722871924087142
150038,0.972140707112941
150039,0.971725983091421
150040,0.9715446156204327
150041,0.9711855338808588
150042,0.9711767904691506
150043,0.9712480451303113
150044,0.9711772348573557
150045,0.9711394544216937
150046,0.9709714676923635
150047,0.9704565371868452
150048,0.9702237559666937
150049,0.9700289680349838
150050,0.9696836882590287
150051,0.9693005940405228
150052,0.9689173525771706
150053,0.9681076713440621
150054,0.9606656649541672
150055,0.9779645083440217
150056,0.978907373223864
150057,0.9788220637345677
150058,0.9782706834643896
150059,0.9779344957155716
150060,0.9787358495011397
150061,0.9772761954819922
150062,0.9764368401185476
150063,0.9761290317457331
150064,0.9757488764740766
150065,0.975090652314783
150066,0.974818429307597
150067,0.9732504594789523
150068,0.9728393155728401
150069,0.9726170568651427
150070,0.9723638565727547
150071,0.972235593660018
150072,0.9719824143161295
150073,0.971725983091421
150074,0.9713820911524774
150075,0.971134103616887
150076,0.9711777140607875
150077,0.9711127916938783
150078,0.9710890553308765
150079,0.9710791791684913
150080,0.9707619589571768
150081,0.9703745876109677
150082,0.9701681655149389
150083,0.9697593065978451
150084,0.9695684398866133
150085,0.9688252465667885
150086,0.9682865167341913
150087,0.9606656649541672
150088,0.9775334121499704
150089,0.9784014974457211
150090,0.978412861987906
150091,0.9785512602818787
150092,0.9778823243197005
150093,0.9778475940259229
150094,0.9770944488804968
150095,0.9763778315221255
150096,0.9759617538642129
150097,0.9758004176906747
150098,0.9743684769072483
150099,0.973853876774581
150100,0.9731473182733813
150101,0.9726608043215607
150102,0.9725073437457217
150103,0.9721971315751354
150104,0.9721600048406438
150105,0.9719248518173926
150106,0.9717307061713045
150107,0.9712297743968155
150108,0.9710792959721706
150109,0.9710372911480801
150110,0.9709906701893033
150111,0.9710414680050791
150112,0.9710121570536753
150113,0.9707373358753533
150114,0.9702280404290854
150115,0.9698539937627234
150116,0.9695684398866133
150117,0.9694068144845425
150118,0.9686326631661878
150119,0.9609035860160576
150120,0.9773348342727753
150121,0.9786533084922917
150122,0.9784490075306542
150123,0.9779647718475943
150124,0.9782441244970459
150125,0.9776286340198793
150126,0.9775898306051997
150127,0.9763648474480783
150128,0.9753539482165378
150129,0.9750283086405981
150130,0.9745780435444185
150131,0.9738472777300814
150132,0.9730547305560968
150133,0.9724352786764314
150134,0.972379289317999
150135,0.9721717631954966
150136,0.9719668928022407
150137,0.9718828928862556
150138,0.9715237884649479
150139,0.9710406612171216
150140,0.9709729385360276
150141,0.9709630623736424
150142,0.9709346168618849
150143,0.9709592488904326
150144,0.9710121570536753
150145,0.9704614602096225
150146,0.9700299794708732
150147,0.9697554600015721
150148,0.969465104887702
150149,0.9694068144845425
150150,0.9609035860160576
150151,0.977336003914044
150152,0.9781403398667261
150153,0.9783799266852116
150154,0.9779213463080002
150155,0.9782284386155186
150156,0.9775861391276616
150157,0.9768334422922427
150158,0.975580102405968
150159,0.9753701230333169
150160,0.9749996952273886
150161,0.9745516541403136
150162,0.9737636352495712
150163,0.9728529195439056
150164,0.9723441401791648
150165,0.9721361712948146
150166,0.9720837843098221
150167,0.971911323924448
150168,0.9717239012825802
150169,0.9713776605542559
150170,0.9709801387115697
150171,0.9709630623736424
150172,0.9709206633406497
150173,0.9709206633406497
150174,0.9709316410747715
150175,0.9707754268072937
150176,0.9703020874091604
150177,0.9698462162344307
150178,0.9695438168047901
150179,0.9693821914027192
150180,0.9621813794273976
150181,0.9773195937977924
150182,0.9781535883867017
150183,0.9783761584529783
150184,0.977834826996166
150185,0.9776708998044412
150186,0.977326203169016
150187,0.9759533094813149
150188,0.976194367767331
150189,0.9753590452182721
150190,0.974888171041876
150191,0.9744796388592418
150192,0.9736918818875596
150193,0.9727532371593491
150194,0.972348195704069
150195,0.9721353687333941
150196,0.9719202621286546
150197,0.9717207143941277
150198,0.9714565946406012
150199,0.9711941268698353
150200,0.9708994796698122
150201,0.9709206633406497
150202,0.9709206633406497
150203,0.9709316410747715
150204,0.9707608087649993
150205,0.9706735122572092
150206,0.9702491792459177
150207,0.9696277242881081
150208,0.9693821914027192
150209,0.9621813794273976
150210,0.9770311447746293
150211,0.9782039874775192
150212,0.9779031812098455
150213,0.977286913323382
150214,0.977668136383798
150215,0.9771890400919334
150216,0.9759126995896166
150217,0.9761625240630423
150218,0.9753203499273445
150219,0.9748691423483844
150220,0.9743264552902906
150221,0.9733330139417847
150222,0.9725987567703261
150223,0.9724172743157349
150224,0.9720054085059616
150225,0.9718006936859153
150226,0.9714945455499266
150227,0.971398154984854
150228,0.9710156098870143
150229,0.9708309044736422
150230,0.9708570806368195
150231,0.9708520557631002
150232,0.9707670684788012
150233,0.9706735122572092
150234,0.9703884698698737
150235,0.9700789837233382
150236,0.9694909086415474
150237,0.9621813794273976
150238,0.9766003828950851
150239,0.9778265242748261
150240,0.9779064520475895
150241,0.977166831918005
150242,0.9775931845125453
150243,0.9770717653093749
150244,0.9762047679451548
150245,0.9760096667122294
150246,0.9755038352317056
150247,0.9747551103334671
150248,0.9740266505814882
150249,0.9731261201195944
150250,0.9726563000842208
150251,0.9723261851037239
150252,0.9718635265395257
150253,0.9716602902957939
150254,0.9714199864781508
150255,0.97139439070691
150256,0.9710156098870143
150257,0.9708041724735769
150258,0.9706883580473902
150259,0.9706925080408491
150260,0.9706735122572092
150261,0.9706735122572092
150262,0.9702931193298442
150263,0.9699185128600705
150264,0.9621011367084181
150265,0.9766003828950851
150266,0.9778770067599879
150267,0.9773495599075335
150268,0.9771872946583441
150269,0.9769295993752343
150270,0.976798196476003
150271,0.9761328645953264
150272,0.9759427629803071
150273,0.9757892915281804
150274,0.9745943187816547
150275,0.9738323085465547
150276,0.9733202305961448
150277,0.9725351864157871
150278,0.9722243295263053
150279,0.9718745092157955
150280,0.9714369624731856
150281,0.9713327511025078
150282,0.9713354321995012
150283,0.9710156098870143
150284,0.9706509932189369
150285,0.9706395998776067
150286,0.9705530551053412
150287,0.9705570213901362
150288,0.9706381684002952
150289,0.9700789837233382
150290,0.9626499908563149
150291,0.976589603213525
150292,0.9779181258092416
150293,0.977361439898592
150294,0.9770883597330332
150295,0.9769331788812523
150296,0.9767467512212809
150297,0.9759656105269288
150298,0.9761987381675207
150299,0.9755866853541418
150300,0.974429088703038
150301,0.9735647188164234
150302,0.9733100877970394
150303,0.9727486477909197
150304,0.9721392627089454
150305,0.9719232253232024
150306,0.9713414297080825
150307,0.9713641856820147
150308,0.9711800804223024
150309,0.9708510372910439
150310,0.9706307036297388
150311,0.9705720701420614
150312,0.9705460436560146
150313,0.9705468001811228
150314,0.9705363985048329
150315,0.9626139032579198
150316,0.9765668165308645
150317,0.9778687766132319
150318,0.9773548840070949
150319,0.977051013375844
150320,0.9768489755455245
150321,0.9759477423892851
150322,0.9758892187087275
150323,0.9760559551621957
150324,0.9753607516624769
150325,0.9748368478981988
150326,0.9736782927260311
150327,0.9731172201097561
150328,0.9726868603635382
150329,0.9720865509113046
150330,0.971791924209881
150331,0.9714955991095537
