rank0,rank1,rank2,rank3
1.2041884816753927,3.0,1.5,3.0
0.8272251308900522,3.0,1.5,3.0
0.46073298429319376,3.0,1.0,3.0
1.3612565445026177,3.0,1.5,1.5
0.9738219895287958,1.5,1.5,3.0
1.905759162303665,3.0,1.5,1.5
0.6492146596858639,3.0,1.0,3.0
0.4083769633507853,3.0,1.5,3.0
0.9842931937172774,1.5,1.5,3.0
1.0209424083769634,3.0,1.0,3.0
0.2722513089005235,3.0,1.5,3.0
0.7015706806282722,3.0,1.5,1.5
0.3979057591623037,3.0,1.5,1.5
1.7696335078534031,1.5,1.5,1.5
0.8795811518324607,3.0,1.0,3.0
1.1099476439790577,3.0,1.0,3.0
0.3507853403141361,3.0,1.0,3.0
1.1832460732984293,1.0,1.5,1.5
0.5078534031413613,3.0,1.5,1.5
0.17277486910994763,3.0,1.5,1.5
0.581151832460733,3.0,1.0,3.0
1.1361256544502618,3.0,1.5,1.5
2.696335078534031,1.0,1.5,1.5
0.43979057591623033,3.0,1.5,1.5
0.38743455497382195,3.0,1.0,3.0
1.7643979057591626,1.0,1.5,1.5
0.5863874345549738,3.0,0.75,3.0
0.33507853403141363,3.0,1.0,3.0
3.0,3.0,1.0,1.5
2.1832460732984296,3.0,0.75,1.5
0.6178010471204188,1.5,0.75,1.5
0.3717277486910995,3.0,0.75,3.0
0.33507853403141363,3.0,1.0,3.0
0.9109947643979057,3.0,1.0,1.5
1.0157068062827226,1.0,1.5,1.5
0.9842931937172774,1.5,1.5,1.5
0.418848167539267,3.0,1.0,3.0
1.2670157068062828,0.75,1.5,1.5
0.7382198952879582,1.5,1.0,3.0
0.9947643979057592,1.5,1.5,1.5
0.9528795811518325,0.6000000000000001,1.0,1.5
2.0366492146596857,0.75,1.5,1.5
0.18324607329842932,3.0,1.5,3.0
0.7015706806282722,1.5,1.5,1.5
0.9581151832460733,1.5,1.0,3.0
0.08900523560209425,3.0,1.5,1.5
0.5654450261780105,3.0,0.75,1.5
0.6910994764397905,1.0,1.5,1.5
0.7905759162303665,3.0,0.75,0.0
1.0,3.0,0.75,1.5
0.4973821989528796,0.6000000000000001,1.0,3.0
0.38743455497382195,1.0,1.5,1.5
0.2408376963350785,3.0,0.75,3.0
0.7172774869109948,1.0,1.0,3.0
0.2356020942408377,3.0,1.0,3.0
0.46596858638743455,1.5,1.5,1.5
0.25654450261780104,3.0,1.0,3.0
1.910994764397906,1.5,0.75,1.5
1.743455497382199,0.6000000000000001,0.75,1.5
0.20418848167539266,1.5,1.0,3.0
0.21989528795811517,0.6000000000000001,1.5,1.5
0.09947643979057592,3.0,0.75,3.0
1.4397905759162304,1.5,0.75,1.5
2.5340314136125657,1.0,0.75,1.5
0.37696335078534027,1.0,1.5,1.5
0.08900523560209425,1.5,1.0,3.0
0.46596858638743455,3.0,1.0,1.5
0.14659685863874344,3.0,1.0,3.0
1.5863874345549736,0.6000000000000001,0.75,0.0
0.23036649214659688,1.0,1.0,3.0
0.47643979057591623,0.6000000000000001,1.0,3.0
1.2198952879581153,1.0,0.75,1.5
0.5706806282722513,1.5,0.75,1.5
0.32460732984293195,1.5,1.5,1.5
0.09947643979057592,3.0,1.5,1.5
0.7696335078534031,1.0,0.75,1.5
1.837696335078534,0.6000000000000001,1.0,1.5
0.0,3.0,0.75,0.0
2.1832460732984296,0.6000000000000001,0.75,1.5
1.256544502617801,0.6000000000000001,0.75,0.0
1.1256544502617802,1.0,0.75,0.0
1.1204188481675392,0.75,0.75,0.0
0.4921465968586387,1.5,0.75,0.0
0.020942408376963352,3.0,1.5,0.0
0.5759162303664922,1.0,1.0,1.5
1.2670157068062828,0.75,0.75,0.0
1.089005235602094,0.75,0.75,0.0
1.2198952879581153,0.75,0.75,0.0
1.4293193717277486,0.6000000000000001,0.75,0.0
0.7905759162303665,0.6000000000000001,0.75,0.0
0.45549738219895286,0.6000000000000001,0.75,0.0
0.6439790575916231,0.75,0.75,1.5
0.12041884816753926,1.0,1.0,3.0
0.4450261780104712,0.75,0.75,1.5
0.14136125654450263,0.75,1.0,3.0
0.05759162303664922,3.0,0.75,0.0
0.03664921465968586,3.0,0.75,0.0
0.6806282722513088,0.6000000000000001,0.75,0.0
0.5916230366492147,0.6000000000000001,0.75,0.0
0.015706806282722516,3.0,0.75,0.0
0.46073298429319376,0.6000000000000001,0.75,0.0
0.43979057591623033,1.5,0.75,0.0
0.7329842931937173,0.6000000000000001,0.75,0.0
0.06806282722513088,3.0,0.75,0.0
0.43979057591623033,0.6000000000000001,0.75,0.0
0.03141361256544503,3.0,1.0,1.5
0.5287958115183247,0.6000000000000001,0.75,0.0
0.38743455497382195,0.6000000000000001,0.75,0.0
0.06282722513089006,3.0,0.75,0.0
0.11518324607329844,0.6000000000000001,0.75,0.0
0.07329842931937172,1.0,0.75,1.5
0.37696335078534027,0.6000000000000001,0.75,0.0
0.32460732984293195,0.6000000000000001,0.75,0.0
0.31413612565445026,0.6000000000000001,0.75,0.0
0.015706806282722516,0.6000000000000001,0.75,0.0
0.43455497382198954,0.6000000000000001,0.75,0.0
0.4502617801047121,0.6000000000000001,0.75,0.0
0.5392670157068062,0.6000000000000001,0.75,0.0
0.2617801047120419,0.6000000000000001,0.75,0.0
0.11518324607329844,1.5,0.75,0.0
0.015706806282722516,0.6000000000000001,0.75,0.0
0.3089005235602094,0.6000000000000001,0.75,0.0
0.45549738219895286,0.6000000000000001,0.75,0.0
0.36649214659685864,0.6000000000000001,0.75,0.0
0.3403141361256544,0.6000000000000001,0.75,0.0
0.2094240837696335,0.6000000000000001,0.75,0.0
0.18848167539267013,0.6000000000000001,0.75,0.0
0.2774869109947644,0.75,0.75,0.0
0.38743455497382195,0.6000000000000001,0.75,0.0
0.28272251308900526,0.6000000000000001,0.75,0.0
0.2774869109947644,0.6000000000000001,0.75,0.0
