id,CATEGORY,SENTIMENT,SCORE,ENTROPY
130000,0.36,0.18,0.37,0.09
130001,0.36,0.18,0.38,0.08
130002,0.36,0.18,0.39,0.07
130003,0.36,0.18,0.4,0.06
130004,0.36,0.18,0.41,0.05
130005,0.36,0.18,0.42,0.04
130006,0.36,0.18,0.43,0.03
130007,0.36,0.18,0.44,0.02
130008,0.36,0.18,0.45,0.01
130009,0.36,0.18,0.46,0.0
130010,0.36,0.19,0.0,0.45
130011,0.36,0.19,0.01,0.44
130012,0.36,0.19,0.02,0.43
130013,0.36,0.19,0.03,0.42
130014,0.36,0.19,0.04,0.41
130015,0.36,0.19,0.05,0.4
130016,0.36,0.19,0.06,0.39
130017,0.36,0.19,0.07,0.38
130018,0.36,0.19,0.08,0.37
130019,0.36,0.19,0.09,0.36
130020,0.36,0.19,0.1,0.35
130021,0.36,0.19,0.11,0.34
130022,0.36,0.19,0.12,0.33
130023,0.36,0.19,0.13,0.32
130024,0.36,0.19,0.14,0.31
130025,0.36,0.19,0.15,0.3
130026,0.36,0.19,0.16,0.29
130027,0.36,0.19,0.17,0.28
130028,0.36,0.19,0.18,0.27
130029,0.36,0.19,0.19,0.26
130030,0.36,0.19,0.2,0.25
130031,0.36,0.19,0.21,0.24
130032,0.36,0.19,0.22,0.23
130033,0.36,0.19,0.23,0.22
130034,0.36,0.19,0.24,0.21
130035,0.36,0.19,0.25,0.2
130036,0.36,0.19,0.26,0.19
130037,0.36,0.19,0.27,0.18
130038,0.36,0.19,0.28,0.17
130039,0.36,0.19,0.29,0.16
130040,0.36,0.19,0.3,0.15
130041,0.36,0.19,0.31,0.14
130042,0.36,0.19,0.32,0.13
130043,0.36,0.19,0.33,0.12
130044,0.36,0.19,0.34,0.11
130045,0.36,0.19,0.35,0.1
130046,0.36,0.19,0.36,0.09
130047,0.36,0.19,0.37,0.08
130048,0.36,0.19,0.38,0.07
130049,0.36,0.19,0.39,0.06
130050,0.36,0.19,0.4,0.05
130051,0.36,0.19,0.41,0.04
130052,0.36,0.19,0.42,0.03
130053,0.36,0.19,0.43,0.02
130054,0.36,0.19,0.44,0.01
130055,0.36,0.19,0.45,0.0
130056,0.36,0.2,0.0,0.44
130057,0.36,0.2,0.01,0.43
130058,0.36,0.2,0.02,0.42
130059,0.36,0.2,0.03,0.41
130060,0.36,0.2,0.04,0.4
130061,0.36,0.2,0.05,0.39
130062,0.36,0.2,0.06,0.38
130063,0.36,0.2,0.07,0.37
130064,0.36,0.2,0.08,0.36
130065,0.36,0.2,0.09,0.35
130066,0.36,0.2,0.1,0.34
130067,0.36,0.2,0.11,0.33
130068,0.36,0.2,0.12,0.32
130069,0.36,0.2,0.13,0.31
130070,0.36,0.2,0.14,0.3
130071,0.36,0.2,0.15,0.29
130072,0.36,0.2,0.16,0.28
130073,0.36,0.2,0.17,0.27
130074,0.36,0.2,0.18,0.26
130075,0.36,0.2,0.19,0.25
130076,0.36,0.2,0.2,0.24
130077,0.36,0.2,0.21,0.23
130078,0.36,0.2,0.22,0.22
130079,0.36,0.2,0.23,0.21
130080,0.36,0.2,0.24,0.2
130081,0.36,0.2,0.25,0.19
130082,0.36,0.2,0.26,0.18
130083,0.36,0.2,0.27,0.17
130084,0.36,0.2,0.28,0.16
130085,0.36,0.2,0.29,0.15
130086,0.36,0.2,0.3,0.14
130087,0.36,0.2,0.31,0.13
130088,0.36,0.2,0.32,0.12
130089,0.36,0.2,0.33,0.11
130090,0.36,0.2,0.34,0.1
130091,0.36,0.2,0.35,0.09
130092,0.36,0.2,0.36,0.08
130093,0.36,0.2,0.37,0.07
130094,0.36,0.2,0.38,0.06
130095,0.36,0.2,0.39,0.05
130096,0.36,0.2,0.4,0.04
130097,0.36,0.2,0.41,0.03
130098,0.36,0.2,0.42,0.02
130099,0.36,0.2,0.43,0.01
130100,0.36,0.2,0.44,0.0
130101,0.36,0.21,0.0,0.43
130102,0.36,0.21,0.01,0.42
130103,0.36,0.21,0.02,0.41
130104,0.36,0.21,0.03,0.4
130105,0.36,0.21,0.04,0.39
130106,0.36,0.21,0.05,0.38
130107,0.36,0.21,0.06,0.37
130108,0.36,0.21,0.07,0.36
130109,0.36,0.21,0.08,0.35
130110,0.36,0.21,0.09,0.34
130111,0.36,0.21,0.1,0.33
130112,0.36,0.21,0.11,0.32
130113,0.36,0.21,0.12,0.31
130114,0.36,0.21,0.13,0.3
130115,0.36,0.21,0.14,0.29
130116,0.36,0.21,0.15,0.28
130117,0.36,0.21,0.16,0.27
130118,0.36,0.21,0.17,0.26
130119,0.36,0.21,0.18,0.25
130120,0.36,0.21,0.19,0.24
130121,0.36,0.21,0.2,0.23
130122,0.36,0.21,0.21,0.22
130123,0.36,0.21,0.22,0.21
130124,0.36,0.21,0.23,0.2
130125,0.36,0.21,0.24,0.19
130126,0.36,0.21,0.25,0.18
130127,0.36,0.21,0.26,0.17
130128,0.36,0.21,0.27,0.16
130129,0.36,0.21,0.28,0.15
130130,0.36,0.21,0.29,0.14
130131,0.36,0.21,0.3,0.13
130132,0.36,0.21,0.31,0.12
130133,0.36,0.21,0.32,0.11
130134,0.36,0.21,0.33,0.1
130135,0.36,0.21,0.34,0.09
130136,0.36,0.21,0.35,0.08
130137,0.36,0.21,0.36,0.07
130138,0.36,0.21,0.37,0.06
130139,0.36,0.21,0.38,0.05
130140,0.36,0.21,0.39,0.04
130141,0.36,0.21,0.4,0.03
130142,0.36,0.21,0.41,0.02
130143,0.36,0.21,0.42,0.01
130144,0.36,0.21,0.43,0.0
130145,0.36,0.22,0.0,0.42
130146,0.36,0.22,0.01,0.41
130147,0.36,0.22,0.02,0.4
130148,0.36,0.22,0.03,0.39
130149,0.36,0.22,0.04,0.38
130150,0.36,0.22,0.05,0.37
130151,0.36,0.22,0.06,0.36
130152,0.36,0.22,0.07,0.35
130153,0.36,0.22,0.08,0.34
130154,0.36,0.22,0.09,0.33
130155,0.36,0.22,0.1,0.32
130156,0.36,0.22,0.11,0.31
130157,0.36,0.22,0.12,0.3
130158,0.36,0.22,0.13,0.29
130159,0.36,0.22,0.14,0.28
130160,0.36,0.22,0.15,0.27
130161,0.36,0.22,0.16,0.26
130162,0.36,0.22,0.17,0.25
130163,0.36,0.22,0.18,0.24
130164,0.36,0.22,0.19,0.23
130165,0.36,0.22,0.2,0.22
130166,0.36,0.22,0.21,0.21
130167,0.36,0.22,0.22,0.2
130168,0.36,0.22,0.23,0.19
130169,0.36,0.22,0.24,0.18
130170,0.36,0.22,0.25,0.17
130171,0.36,0.22,0.26,0.16
130172,0.36,0.22,0.27,0.15
130173,0.36,0.22,0.28,0.14
130174,0.36,0.22,0.29,0.13
130175,0.36,0.22,0.3,0.12
130176,0.36,0.22,0.31,0.11
130177,0.36,0.22,0.32,0.1
130178,0.36,0.22,0.33,0.09
130179,0.36,0.22,0.34,0.08
130180,0.36,0.22,0.35,0.07
130181,0.36,0.22,0.36,0.06
130182,0.36,0.22,0.37,0.05
130183,0.36,0.22,0.38,0.04
130184,0.36,0.22,0.39,0.03
130185,0.36,0.22,0.4,0.02
130186,0.36,0.22,0.41,0.01
130187,0.36,0.22,0.42,0.0
130188,0.36,0.23,0.0,0.41
130189,0.36,0.23,0.01,0.4
130190,0.36,0.23,0.02,0.39
130191,0.36,0.23,0.03,0.38
130192,0.36,0.23,0.04,0.37
130193,0.36,0.23,0.05,0.36
130194,0.36,0.23,0.06,0.35
130195,0.36,0.23,0.07,0.34
130196,0.36,0.23,0.08,0.33
130197,0.36,0.23,0.09,0.32
130198,0.36,0.23,0.1,0.31
130199,0.36,0.23,0.11,0.3
130200,0.36,0.23,0.12,0.29
130201,0.36,0.23,0.13,0.28
130202,0.36,0.23,0.14,0.27
130203,0.36,0.23,0.15,0.26
130204,0.36,0.23,0.16,0.25
130205,0.36,0.23,0.17,0.24
130206,0.36,0.23,0.18,0.23
130207,0.36,0.23,0.19,0.22
130208,0.36,0.23,0.2,0.21
130209,0.36,0.23,0.21,0.2
130210,0.36,0.23,0.22,0.19
130211,0.36,0.23,0.23,0.18
130212,0.36,0.23,0.24,0.17
130213,0.36,0.23,0.25,0.16
130214,0.36,0.23,0.26,0.15
130215,0.36,0.23,0.27,0.14
130216,0.36,0.23,0.28,0.13
130217,0.36,0.23,0.29,0.12
130218,0.36,0.23,0.3,0.11
130219,0.36,0.23,0.31,0.1
130220,0.36,0.23,0.32,0.09
130221,0.36,0.23,0.33,0.08
130222,0.36,0.23,0.34,0.07
130223,0.36,0.23,0.35,0.06
130224,0.36,0.23,0.36,0.05
130225,0.36,0.23,0.37,0.04
130226,0.36,0.23,0.38,0.03
130227,0.36,0.23,0.39,0.02
130228,0.36,0.23,0.4,0.01
130229,0.36,0.23,0.41,0.0
130230,0.36,0.24,0.0,0.4
130231,0.36,0.24,0.01,0.39
130232,0.36,0.24,0.02,0.38
130233,0.36,0.24,0.03,0.37
130234,0.36,0.24,0.04,0.36
130235,0.36,0.24,0.05,0.35
130236,0.36,0.24,0.06,0.34
130237,0.36,0.24,0.07,0.33
130238,0.36,0.24,0.08,0.32
130239,0.36,0.24,0.09,0.31
130240,0.36,0.24,0.1,0.3
130241,0.36,0.24,0.11,0.29
130242,0.36,0.24,0.12,0.28
130243,0.36,0.24,0.13,0.27
130244,0.36,0.24,0.14,0.26
130245,0.36,0.24,0.15,0.25
130246,0.36,0.24,0.16,0.24
130247,0.36,0.24,0.17,0.23
130248,0.36,0.24,0.18,0.22
130249,0.36,0.24,0.19,0.21
130250,0.36,0.24,0.2,0.2
130251,0.36,0.24,0.21,0.19
130252,0.36,0.24,0.22,0.18
130253,0.36,0.24,0.23,0.17
130254,0.36,0.24,0.24,0.16
130255,0.36,0.24,0.25,0.15
130256,0.36,0.24,0.26,0.14
130257,0.36,0.24,0.27,0.13
130258,0.36,0.24,0.28,0.12
130259,0.36,0.24,0.29,0.11
130260,0.36,0.24,0.3,0.1
130261,0.36,0.24,0.31,0.09
130262,0.36,0.24,0.32,0.08
130263,0.36,0.24,0.33,0.07
130264,0.36,0.24,0.34,0.06
130265,0.36,0.24,0.35,0.05
130266,0.36,0.24,0.36,0.04
130267,0.36,0.24,0.37,0.03
130268,0.36,0.24,0.38,0.02
130269,0.36,0.24,0.39,0.01
130270,0.36,0.24,0.4,0.0
130271,0.36,0.25,0.0,0.39
130272,0.36,0.25,0.01,0.38
130273,0.36,0.25,0.02,0.37
130274,0.36,0.25,0.03,0.36
130275,0.36,0.25,0.04,0.35
130276,0.36,0.25,0.05,0.34
130277,0.36,0.25,0.06,0.33
130278,0.36,0.25,0.07,0.32
130279,0.36,0.25,0.08,0.31
130280,0.36,0.25,0.09,0.3
130281,0.36,0.25,0.1,0.29
130282,0.36,0.25,0.11,0.28
130283,0.36,0.25,0.12,0.27
130284,0.36,0.25,0.13,0.26
130285,0.36,0.25,0.14,0.25
130286,0.36,0.25,0.15,0.24
130287,0.36,0.25,0.16,0.23
130288,0.36,0.25,0.17,0.22
130289,0.36,0.25,0.18,0.21
130290,0.36,0.25,0.19,0.2
130291,0.36,0.25,0.2,0.19
130292,0.36,0.25,0.21,0.18
130293,0.36,0.25,0.22,0.17
130294,0.36,0.25,0.23,0.16
130295,0.36,0.25,0.24,0.15
130296,0.36,0.25,0.25,0.14
130297,0.36,0.25,0.26,0.13
130298,0.36,0.25,0.27,0.12
130299,0.36,0.25,0.28,0.11
130300,0.36,0.25,0.29,0.1
130301,0.36,0.25,0.3,0.09
130302,0.36,0.25,0.31,0.08
130303,0.36,0.25,0.32,0.07
130304,0.36,0.25,0.33,0.06
130305,0.36,0.25,0.34,0.05
130306,0.36,0.25,0.35,0.04
130307,0.36,0.25,0.36,0.03
130308,0.36,0.25,0.37,0.02
130309,0.36,0.25,0.38,0.01
130310,0.36,0.25,0.39,0.0
130311,0.36,0.26,0.0,0.38
130312,0.36,0.26,0.01,0.37
130313,0.36,0.26,0.02,0.36
130314,0.36,0.26,0.03,0.35
130315,0.36,0.26,0.04,0.34
130316,0.36,0.26,0.05,0.33
130317,0.36,0.26,0.06,0.32
130318,0.36,0.26,0.07,0.31
130319,0.36,0.26,0.08,0.3
130320,0.36,0.26,0.09,0.29
130321,0.36,0.26,0.1,0.28
130322,0.36,0.26,0.11,0.27
130323,0.36,0.26,0.12,0.26
130324,0.36,0.26,0.13,0.25
130325,0.36,0.26,0.14,0.24
