id,CATEGORY,SENTIMENT,SCORE,ENTROPY
150000,0.47,0.19,0.14,0.2
150001,0.47,0.19,0.15,0.19
150002,0.47,0.19,0.16,0.18
150003,0.47,0.19,0.17,0.17
150004,0.47,0.19,0.18,0.16
150005,0.47,0.19,0.19,0.15
150006,0.47,0.19,0.2,0.14
150007,0.47,0.19,0.21,0.13
150008,0.47,0.19,0.22,0.12
150009,0.47,0.19,0.23,0.11
150010,0.47,0.19,0.24,0.1
150011,0.47,0.19,0.25,0.09
150012,0.47,0.19,0.26,0.08
150013,0.47,0.19,0.27,0.07
150014,0.47,0.19,0.28,0.06
150015,0.47,0.19,0.29,0.05
150016,0.47,0.19,0.3,0.04
150017,0.47,0.19,0.31,0.03
150018,0.47,0.19,0.32,0.02
150019,0.47,0.19,0.33,0.01
150020,0.47,0.19,0.34,0.0
150021,0.47,0.2,0.0,0.33
150022,0.47,0.2,0.01,0.32
150023,0.47,0.2,0.02,0.31
150024,0.47,0.2,0.03,0.3
150025,0.47,0.2,0.04,0.29
150026,0.47,0.2,0.05,0.28
150027,0.47,0.2,0.06,0.27
150028,0.47,0.2,0.07,0.26
150029,0.47,0.2,0.08,0.25
150030,0.47,0.2,0.09,0.24
150031,0.47,0.2,0.1,0.23
150032,0.47,0.2,0.11,0.22
150033,0.47,0.2,0.12,0.21
150034,0.47,0.2,0.13,0.2
150035,0.47,0.2,0.14,0.19
150036,0.47,0.2,0.15,0.18
150037,0.47,0.2,0.16,0.17
150038,0.47,0.2,0.17,0.16
150039,0.47,0.2,0.18,0.15
150040,0.47,0.2,0.19,0.14
150041,0.47,0.2,0.2,0.13
150042,0.47,0.2,0.21,0.12
150043,0.47,0.2,0.22,0.11
150044,0.47,0.2,0.23,0.1
150045,0.47,0.2,0.24,0.09
150046,0.47,0.2,0.25,0.08
150047,0.47,0.2,0.26,0.07
150048,0.47,0.2,0.27,0.06
150049,0.47,0.2,0.28,0.05
150050,0.47,0.2,0.29,0.04
150051,0.47,0.2,0.3,0.03
150052,0.47,0.2,0.31,0.02
150053,0.47,0.2,0.32,0.01
150054,0.47,0.2,0.33,0.0
150055,0.47,0.21,0.0,0.32
150056,0.47,0.21,0.01,0.31
150057,0.47,0.21,0.02,0.3
150058,0.47,0.21,0.03,0.29
150059,0.47,0.21,0.04,0.28
150060,0.47,0.21,0.05,0.27
150061,0.47,0.21,0.06,0.26
150062,0.47,0.21,0.07,0.25
150063,0.47,0.21,0.08,0.24
150064,0.47,0.21,0.09,0.23
150065,0.47,0.21,0.1,0.22
150066,0.47,0.21,0.11,0.21
150067,0.47,0.21,0.12,0.2
150068,0.47,0.21,0.13,0.19
150069,0.47,0.21,0.14,0.18
150070,0.47,0.21,0.15,0.17
150071,0.47,0.21,0.16,0.16
150072,0.47,0.21,0.17,0.15
150073,0.47,0.21,0.18,0.14
150074,0.47,0.21,0.19,0.13
150075,0.47,0.21,0.2,0.12
150076,0.47,0.21,0.21,0.11
150077,0.47,0.21,0.22,0.1
150078,0.47,0.21,0.23,0.09
150079,0.47,0.21,0.24,0.08
150080,0.47,0.21,0.25,0.07
150081,0.47,0.21,0.26,0.06
150082,0.47,0.21,0.27,0.05
150083,0.47,0.21,0.28,0.04
150084,0.47,0.21,0.29,0.03
150085,0.47,0.21,0.3,0.02
150086,0.47,0.21,0.31,0.01
150087,0.47,0.21,0.32,0.0
150088,0.47,0.22,0.0,0.31
150089,0.47,0.22,0.01,0.3
150090,0.47,0.22,0.02,0.29
150091,0.47,0.22,0.03,0.28
150092,0.47,0.22,0.04,0.27
150093,0.47,0.22,0.05,0.26
150094,0.47,0.22,0.06,0.25
150095,0.47,0.22,0.07,0.24
150096,0.47,0.22,0.08,0.23
150097,0.47,0.22,0.09,0.22
150098,0.47,0.22,0.1,0.21
150099,0.47,0.22,0.11,0.2
150100,0.47,0.22,0.12,0.19
150101,0.47,0.22,0.13,0.18
150102,0.47,0.22,0.14,0.17
150103,0.47,0.22,0.15,0.16
150104,0.47,0.22,0.16,0.15
150105,0.47,0.22,0.17,0.14
150106,0.47,0.22,0.18,0.13
150107,0.47,0.22,0.19,0.12
150108,0.47,0.22,0.2,0.11
150109,0.47,0.22,0.21,0.1
150110,0.47,0.22,0.22,0.09
150111,0.47,0.22,0.23,0.08
150112,0.47,0.22,0.24,0.07
150113,0.47,0.22,0.25,0.06
150114,0.47,0.22,0.26,0.05
150115,0.47,0.22,0.27,0.04
150116,0.47,0.22,0.28,0.03
150117,0.47,0.22,0.29,0.02
150118,0.47,0.22,0.3,0.01
150119,0.47,0.22,0.31,0.0
150120,0.47,0.23,0.0,0.3
150121,0.47,0.23,0.01,0.29
150122,0.47,0.23,0.02,0.28
150123,0.47,0.23,0.03,0.27
150124,0.47,0.23,0.04,0.26
150125,0.47,0.23,0.05,0.25
150126,0.47,0.23,0.06,0.24
150127,0.47,0.23,0.07,0.23
150128,0.47,0.23,0.08,0.22
150129,0.47,0.23,0.09,0.21
150130,0.47,0.23,0.1,0.2
150131,0.47,0.23,0.11,0.19
150132,0.47,0.23,0.12,0.18
150133,0.47,0.23,0.13,0.17
150134,0.47,0.23,0.14,0.16
150135,0.47,0.23,0.15,0.15
150136,0.47,0.23,0.16,0.14
150137,0.47,0.23,0.17,0.13
150138,0.47,0.23,0.18,0.12
150139,0.47,0.23,0.19,0.11
150140,0.47,0.23,0.2,0.1
150141,0.47,0.23,0.21,0.09
150142,0.47,0.23,0.22,0.08
150143,0.47,0.23,0.23,0.07
150144,0.47,0.23,0.24,0.06
150145,0.47,0.23,0.25,0.05
150146,0.47,0.23,0.26,0.04
150147,0.47,0.23,0.27,0.03
150148,0.47,0.23,0.28,0.02
150149,0.47,0.23,0.29,0.01
150150,0.47,0.23,0.3,0.0
150151,0.47,0.24,0.0,0.29
150152,0.47,0.24,0.01,0.28
150153,0.47,0.24,0.02,0.27
150154,0.47,0.24,0.03,0.26
150155,0.47,0.24,0.04,0.25
150156,0.47,0.24,0.05,0.24
150157,0.47,0.24,0.06,0.23
150158,0.47,0.24,0.07,0.22
150159,0.47,0.24,0.08,0.21
150160,0.47,0.24,0.09,0.2
150161,0.47,0.24,0.1,0.19
150162,0.47,0.24,0.11,0.18
150163,0.47,0.24,0.12,0.17
150164,0.47,0.24,0.13,0.16
150165,0.47,0.24,0.14,0.15
150166,0.47,0.24,0.15,0.14
150167,0.47,0.24,0.16,0.13
150168,0.47,0.24,0.17,0.12
150169,0.47,0.24,0.18,0.11
150170,0.47,0.24,0.19,0.1
150171,0.47,0.24,0.2,0.09
150172,0.47,0.24,0.21,0.08
150173,0.47,0.24,0.22,0.07
150174,0.47,0.24,0.23,0.06
150175,0.47,0.24,0.24,0.05
150176,0.47,0.24,0.25,0.04
150177,0.47,0.24,0.26,0.03
150178,0.47,0.24,0.27,0.02
150179,0.47,0.24,0.28,0.01
150180,0.47,0.24,0.29,0.0
150181,0.47,0.25,0.0,0.28
150182,0.47,0.25,0.01,0.27
150183,0.47,0.25,0.02,0.26
150184,0.47,0.25,0.03,0.25
150185,0.47,0.25,0.04,0.24
150186,0.47,0.25,0.05,0.23
150187,0.47,0.25,0.06,0.22
150188,0.47,0.25,0.07,0.21
150189,0.47,0.25,0.08,0.2
150190,0.47,0.25,0.09,0.19
150191,0.47,0.25,0.1,0.18
150192,0.47,0.25,0.11,0.17
150193,0.47,0.25,0.12,0.16
150194,0.47,0.25,0.13,0.15
150195,0.47,0.25,0.14,0.14
150196,0.47,0.25,0.15,0.13
150197,0.47,0.25,0.16,0.12
150198,0.47,0.25,0.17,0.11
150199,0.47,0.25,0.18,0.1
150200,0.47,0.25,0.19,0.09
150201,0.47,0.25,0.2,0.08
150202,0.47,0.25,0.21,0.07
150203,0.47,0.25,0.22,0.06
150204,0.47,0.25,0.23,0.05
150205,0.47,0.25,0.24,0.04
150206,0.47,0.25,0.25,0.03
150207,0.47,0.25,0.26,0.02
150208,0.47,0.25,0.27,0.01
150209,0.47,0.25,0.28,0.0
150210,0.47,0.26,0.0,0.27
150211,0.47,0.26,0.01,0.26
150212,0.47,0.26,0.02,0.25
150213,0.47,0.26,0.03,0.24
150214,0.47,0.26,0.04,0.23
150215,0.47,0.26,0.05,0.22
150216,0.47,0.26,0.06,0.21
150217,0.47,0.26,0.07,0.2
150218,0.47,0.26,0.08,0.19
150219,0.47,0.26,0.09,0.18
150220,0.47,0.26,0.1,0.17
150221,0.47,0.26,0.11,0.16
150222,0.47,0.26,0.12,0.15
150223,0.47,0.26,0.13,0.14
150224,0.47,0.26,0.14,0.13
150225,0.47,0.26,0.15,0.12
150226,0.47,0.26,0.16,0.11
150227,0.47,0.26,0.17,0.1
150228,0.47,0.26,0.18,0.09
150229,0.47,0.26,0.19,0.08
150230,0.47,0.26,0.2,0.07
150231,0.47,0.26,0.21,0.06
150232,0.47,0.26,0.22,0.05
150233,0.47,0.26,0.23,0.04
150234,0.47,0.26,0.24,0.03
150235,0.47,0.26,0.25,0.02
150236,0.47,0.26,0.26,0.01
150237,0.47,0.26,0.27,0.0
150238,0.47,0.27,0.0,0.26
150239,0.47,0.27,0.01,0.25
150240,0.47,0.27,0.02,0.24
150241,0.47,0.27,0.03,0.23
150242,0.47,0.27,0.04,0.22
150243,0.47,0.27,0.05,0.21
150244,0.47,0.27,0.06,0.2
150245,0.47,0.27,0.07,0.19
150246,0.47,0.27,0.08,0.18
150247,0.47,0.27,0.09,0.17
150248,0.47,0.27,0.1,0.16
150249,0.47,0.27,0.11,0.15
150250,0.47,0.27,0.12,0.14
150251,0.47,0.27,0.13,0.13
150252,0.47,0.27,0.14,0.12
150253,0.47,0.27,0.15,0.11
150254,0.47,0.27,0.16,0.1
150255,0.47,0.27,0.17,0.09
150256,0.47,0.27,0.18,0.08
150257,0.47,0.27,0.19,0.07
150258,0.47,0.27,0.2,0.06
150259,0.47,0.27,0.21,0.05
150260,0.47,0.27,0.22,0.04
150261,0.47,0.27,0.23,0.03
150262,0.47,0.27,0.24,0.02
150263,0.47,0.27,0.25,0.01
150264,0.47,0.27,0.26,0.0
150265,0.47,0.28,0.0,0.25
150266,0.47,0.28,0.01,0.24
150267,0.47,0.28,0.02,0.23
150268,0.47,0.28,0.03,0.22
150269,0.47,0.28,0.04,0.21
150270,0.47,0.28,0.05,0.2
150271,0.47,0.28,0.06,0.19
150272,0.47,0.28,0.07,0.18
150273,0.47,0.28,0.08,0.17
150274,0.47,0.28,0.09,0.16
150275,0.47,0.28,0.1,0.15
150276,0.47,0.28,0.11,0.14
150277,0.47,0.28,0.12,0.13
150278,0.47,0.28,0.13,0.12
150279,0.47,0.28,0.14,0.11
150280,0.47,0.28,0.15,0.1
150281,0.47,0.28,0.16,0.09
150282,0.47,0.28,0.17,0.08
150283,0.47,0.28,0.18,0.07
150284,0.47,0.28,0.19,0.06
150285,0.47,0.28,0.2,0.05
150286,0.47,0.28,0.21,0.04
150287,0.47,0.28,0.22,0.03
150288,0.47,0.28,0.23,0.02
150289,0.47,0.28,0.24,0.01
150290,0.47,0.28,0.25,0.0
150291,0.47,0.29,0.0,0.24
150292,0.47,0.29,0.01,0.23
150293,0.47,0.29,0.02,0.22
150294,0.47,0.29,0.03,0.21
150295,0.47,0.29,0.04,0.2
150296,0.47,0.29,0.05,0.19
150297,0.47,0.29,0.06,0.18
150298,0.47,0.29,0.07,0.17
150299,0.47,0.29,0.08,0.16
150300,0.47,0.29,0.09,0.15
150301,0.47,0.29,0.1,0.14
150302,0.47,0.29,0.11,0.13
150303,0.47,0.29,0.12,0.12
150304,0.47,0.29,0.13,0.11
150305,0.47,0.29,0.14,0.1
150306,0.47,0.29,0.15,0.09
150307,0.47,0.29,0.16,0.08
150308,0.47,0.29,0.17,0.07
150309,0.47,0.29,0.18,0.06
150310,0.47,0.29,0.19,0.05
150311,0.47,0.29,0.2,0.04
150312,0.47,0.29,0.21,0.03
150313,0.47,0.29,0.22,0.02
150314,0.47,0.29,0.23,0.01
150315,0.47,0.29,0.24,0.0
150316,0.47,0.3,0.0,0.23
150317,0.47,0.3,0.01,0.22
150318,0.47,0.3,0.02,0.21
150319,0.47,0.3,0.03,0.2
150320,0.47,0.3,0.04,0.19
150321,0.47,0.3,0.05,0.18
150322,0.47,0.3,0.06,0.17
150323,0.47,0.3,0.07,0.16
150324,0.47,0.3,0.08,0.15
150325,0.47,0.3,0.09,0.14
150326,0.47,0.3,0.1,0.13
150327,0.47,0.3,0.11,0.12
150328,0.47,0.3,0.12,0.11
150329,0.47,0.3,0.13,0.1
150330,0.47,0.3,0.14,0.09
150331,0.47,0.3,0.15,0.08
150332,0.47,0.3,0.16,0.07
150333,0.47,0.3,0.17,0.06
150334,0.47,0.3,0.18,0.05
150335,0.47,0.3,0.19,0.04
150336,0.47,0.3,0.2,0.03
150337,0.47,0.3,0.21,0.02
150338,0.47,0.3,0.22,0.01
150339,0.47,0.3,0.23,0.0
150340,0.47,0.31,0.0,0.22
150341,0.47,0.31,0.01,0.21
150342,0.47,0.31,0.02,0.2
150343,0.47,0.31,0.03,0.19
150344,0.47,0.31,0.04,0.18
150345,0.47,0.31,0.05,0.17
150346,0.47,0.31,0.06,0.16
150347,0.47,0.31,0.07,0.15
150348,0.47,0.31,0.08,0.14
150349,0.47,0.31,0.09,0.13
150350,0.47,0.31,0.1,0.12
150351,0.47,0.31,0.11,0.11
150352,0.47,0.31,0.12,0.1
150353,0.47,0.31,0.13,0.09
150354,0.47,0.31,0.14,0.08
150355,0.47,0.31,0.15,0.07
150356,0.47,0.31,0.16,0.06
150357,0.47,0.31,0.17,0.05
150358,0.47,0.31,0.18,0.04
150359,0.47,0.31,0.19,0.03
150360,0.47,0.31,0.2,0.02
150361,0.47,0.31,0.21,0.01
150362,0.47,0.31,0.22,0.0
150363,0.47,0.32,0.0,0.21
150364,0.47,0.32,0.01,0.2
150365,0.47,0.32,0.02,0.19
150366,0.47,0.32,0.03,0.18
150367,0.47,0.32,0.04,0.17
150368,0.47,0.32,0.05,0.16
150369,0.47,0.32,0.06,0.15
150370,0.47,0.32,0.07,0.14
150371,0.47,0.32,0.08,0.13
150372,0.47,0.32,0.09,0.12
150373,0.47,0.32,0.1,0.11
150374,0.47,0.32,0.11,0.1
150375,0.47,0.32,0.12,0.09
150376,0.47,0.32,0.13,0.08
150377,0.47,0.32,0.14,0.07
150378,0.47,0.32,0.15,0.06
150379,0.47,0.32,0.16,0.05
150380,0.47,0.32,0.17,0.04
150381,0.47,0.32,0.18,0.03
150382,0.47,0.32,0.19,0.02
150383,0.47,0.32,0.2,0.01
150384,0.47,0.32,0.21,0.0
150385,0.47,0.33,0.0,0.2
150386,0.47,0.33,0.01,0.19
