RankingFuncionPesos,ndcg
rank90000,0.8900332449823121
rank90001,0.8947861442464671
rank90002,0.8964840740224166
rank90003,0.8979395148554803
rank90004,0.8993432391535932
rank90005,0.9009973202150904
rank90006,0.9088723633600658
rank90007,0.9100401886379959
rank90008,0.9129971127589144
rank90009,0.9155086122135352
rank90010,0.9185815209443658
rank90011,0.9198556894855098
rank90012,0.9205878613502563
rank90013,0.9223070066031315
rank90014,0.9226605471631405
rank90015,0.9231654913669258
rank90016,0.9271877810958425
rank90017,0.9290470810734918
rank90018,0.9283754755996433
rank90019,0.9295758878450596
rank90020,0.9298123064738488
rank90021,0.9390919848974495
rank90022,0.9415530505731879
rank90023,0.941352888357953
rank90024,0.9443449690503546
rank90025,0.9477478350977738
rank90026,0.9491703152709865
rank90027,0.9500107637855593
rank90028,0.9497563206346145
rank90029,0.9530840609402849
rank90030,0.9535600779385472
rank90031,0.9526768424427613
rank90032,0.9527500484453569
rank90033,0.95399143883784
rank90034,0.9549233354483659
rank90035,0.9549574263305933
rank90036,0.9551902794125077
rank90037,0.9551744684767893
rank90038,0.954400968593114
rank90039,0.9542638524447951
rank90040,0.9538750969541298
rank90041,0.9532853301791424
rank90042,0.9533947445459354
rank90043,0.9533800920314532
rank90044,0.9533817751343815
rank90045,0.9443288784363867
rank90046,0.8730944321995453
rank90047,0.8777737016320207
rank90048,0.8790197753637878
rank90049,0.879626317489114
rank90050,0.881142797651751
rank90051,0.8828879416984626
rank90052,0.8845343661312174
rank90053,0.8866684446097522
rank90054,0.8886497097940486
rank90055,0.8935836625354456
rank90056,0.8955479394777016
rank90057,0.897731360270822
rank90058,0.8988235266378977
rank90059,0.9002271037349089
rank90060,0.9081186736789426
rank90061,0.909263790816436
rank90062,0.9126575123734424
rank90063,0.9135087361470724
rank90064,0.916802108591244
rank90065,0.9187272682983363
rank90066,0.9201300572076676
rank90067,0.9224292164110728
rank90068,0.9225639495708821
rank90069,0.92322943382696
rank90070,0.9274464571846904
rank90071,0.9287683996948702
rank90072,0.9288733941107155
rank90073,0.9295998705646
rank90074,0.9298210858027356
rank90075,0.9391891330174731
rank90076,0.9415415450777157
rank90077,0.9417987338696396
rank90078,0.9440061380343678
rank90079,0.9480996491336527
rank90080,0.949200933059221
rank90081,0.9504226153594435
rank90082,0.9518012350750544
rank90083,0.9532423898971845
rank90084,0.9531408175975239
rank90085,0.9518615560761111
rank90086,0.9524355054468098
rank90087,0.9540553685386753
rank90088,0.9548419257719049
rank90089,0.9550127870495679
rank90090,0.9552345432889635
rank90091,0.9550524801817305
rank90092,0.9553581803333415
rank90093,0.9545025720276431
rank90094,0.9542125525495015
rank90095,0.9532653761119654
rank90096,0.9533206128474477
rank90097,0.9533800920314532
rank90098,0.9533709954528212
rank90099,0.9443288784363867
rank90100,0.8767948679792166
rank90101,0.8782949639330129
rank90102,0.8801274767638365
rank90103,0.8805159211207464
rank90104,0.8822630254400485
rank90105,0.8821105657782783
rank90106,0.8859762380768701
rank90107,0.8868904031315429
rank90108,0.8927492035768031
rank90109,0.89389728992727
rank90110,0.8970625623096946
rank90111,0.8982355398828162
rank90112,0.9001106560949419
rank90113,0.9012496947991605
rank90114,0.9102844187837988
rank90115,0.9115056184725457
rank90116,0.9129800663313794
rank90117,0.9167028216335502
rank90118,0.9186114315219658
rank90119,0.9200420014047823
rank90120,0.921129693330876
rank90121,0.9224558508463411
rank90122,0.9230392023647169
rank90123,0.9276552131834694
rank90124,0.929128885559734
rank90125,0.9297424376422583
rank90126,0.929471598192166
rank90127,0.9388970162930852
rank90128,0.9392096784362016
rank90129,0.9399719599638251
rank90130,0.9423079111445553
rank90131,0.9441324297885352
rank90132,0.9485009056399387
rank90133,0.9496294960011947
rank90134,0.9497167463744154
rank90135,0.9521742624591418
rank90136,0.9531073151370889
rank90137,0.9530272234493629
rank90138,0.9525311639185493
rank90139,0.9528248656341753
rank90140,0.9536155807592126
rank90141,0.9549397399299006
rank90142,0.9550060983798263
rank90143,0.9550544589400537
rank90144,0.9549937513044752
rank90145,0.9551633603358657
rank90146,0.9550739007923347
rank90147,0.9545069147689689
rank90148,0.9540744809794225
rank90149,0.953332133379279
rank90150,0.9533691538596392
rank90151,0.9533800920314532
rank90152,0.9443179997285458
rank90153,0.8769387468966124
rank90154,0.8792967887184836
rank90155,0.8808516534655638
rank90156,0.8808756069949366
rank90157,0.8823210972532782
rank90158,0.8848650212270228
rank90159,0.8872636008260549
rank90160,0.8915244839327078
rank90161,0.8931707444278411
rank90162,0.8949095697674716
rank90163,0.8978095119241609
rank90164,0.8993110887929625
rank90165,0.9007153529657447
rank90166,0.9099926328363652
rank90167,0.911106210627693
rank90168,0.9122313091411104
rank90169,0.9142367134224566
rank90170,0.917069829793034
rank90171,0.9195467156431291
rank90172,0.9213394491976749
