id,CATEGORY,SENTIMENT,SCORE,ENTROPY
160166,0.55,0.15,0.26,0.04
160167,0.55,0.15,0.27,0.03
160168,0.55,0.15,0.28,0.02
160169,0.55,0.15,0.29,0.01
160170,0.55,0.15,0.3,0.0
160171,0.55,0.16,0.0,0.29
160172,0.55,0.16,0.01,0.28
160173,0.55,0.16,0.02,0.27
160174,0.55,0.16,0.03,0.26
160175,0.55,0.16,0.04,0.25
160176,0.55,0.16,0.05,0.24
160177,0.55,0.16,0.06,0.23
160178,0.55,0.16,0.07,0.22
160179,0.55,0.16,0.08,0.21
160180,0.55,0.16,0.09,0.2
160181,0.55,0.16,0.1,0.19
160182,0.55,0.16,0.11,0.18
160183,0.55,0.16,0.12,0.17
160184,0.55,0.16,0.13,0.16
160185,0.55,0.16,0.14,0.15
160186,0.55,0.16,0.15,0.14
160187,0.55,0.16,0.16,0.13
160188,0.55,0.16,0.17,0.12
160189,0.55,0.16,0.18,0.11
160190,0.55,0.16,0.19,0.1
160191,0.55,0.16,0.2,0.09
160192,0.55,0.16,0.21,0.08
160193,0.55,0.16,0.22,0.07
160194,0.55,0.16,0.23,0.06
160195,0.55,0.16,0.24,0.05
160196,0.55,0.16,0.25,0.04
160197,0.55,0.16,0.26,0.03
160198,0.55,0.16,0.27,0.02
160199,0.55,0.16,0.28,0.01
160200,0.55,0.16,0.29,0.0
160201,0.55,0.17,0.0,0.28
160202,0.55,0.17,0.01,0.27
160203,0.55,0.17,0.02,0.26
160204,0.55,0.17,0.03,0.25
160205,0.55,0.17,0.04,0.24
160206,0.55,0.17,0.05,0.23
160207,0.55,0.17,0.06,0.22
160208,0.55,0.17,0.07,0.21
160209,0.55,0.17,0.08,0.2
160210,0.55,0.17,0.09,0.19
160211,0.55,0.17,0.1,0.18
160212,0.55,0.17,0.11,0.17
160213,0.55,0.17,0.12,0.16
160214,0.55,0.17,0.13,0.15
160215,0.55,0.17,0.14,0.14
160216,0.55,0.17,0.15,0.13
160217,0.55,0.17,0.16,0.12
160218,0.55,0.17,0.17,0.11
160219,0.55,0.17,0.18,0.1
160220,0.55,0.17,0.19,0.09
160221,0.55,0.17,0.2,0.08
160222,0.55,0.17,0.21,0.07
160223,0.55,0.17,0.22,0.06
160224,0.55,0.17,0.23,0.05
160225,0.55,0.17,0.24,0.04
160226,0.55,0.17,0.25,0.03
160227,0.55,0.17,0.26,0.02
160228,0.55,0.17,0.27,0.01
160229,0.55,0.17,0.28,0.0
160230,0.55,0.18,0.0,0.27
160231,0.55,0.18,0.01,0.26
160232,0.55,0.18,0.02,0.25
160233,0.55,0.18,0.03,0.24
160234,0.55,0.18,0.04,0.23
160235,0.55,0.18,0.05,0.22
160236,0.55,0.18,0.06,0.21
160237,0.55,0.18,0.07,0.2
160238,0.55,0.18,0.08,0.19
160239,0.55,0.18,0.09,0.18
160240,0.55,0.18,0.1,0.17
160241,0.55,0.18,0.11,0.16
160242,0.55,0.18,0.12,0.15
160243,0.55,0.18,0.13,0.14
160244,0.55,0.18,0.14,0.13
160245,0.55,0.18,0.15,0.12
160246,0.55,0.18,0.16,0.11
160247,0.55,0.18,0.17,0.1
160248,0.55,0.18,0.18,0.09
160249,0.55,0.18,0.19,0.08
160250,0.55,0.18,0.2,0.07
160251,0.55,0.18,0.21,0.06
160252,0.55,0.18,0.22,0.05
160253,0.55,0.18,0.23,0.04
160254,0.55,0.18,0.24,0.03
160255,0.55,0.18,0.25,0.02
160256,0.55,0.18,0.26,0.01
160257,0.55,0.18,0.27,0.0
160258,0.55,0.19,0.0,0.26
160259,0.55,0.19,0.01,0.25
160260,0.55,0.19,0.02,0.24
160261,0.55,0.19,0.03,0.23
160262,0.55,0.19,0.04,0.22
160263,0.55,0.19,0.05,0.21
160264,0.55,0.19,0.06,0.2
160265,0.55,0.19,0.07,0.19
160266,0.55,0.19,0.08,0.18
160267,0.55,0.19,0.09,0.17
160268,0.55,0.19,0.1,0.16
160269,0.55,0.19,0.11,0.15
160270,0.55,0.19,0.12,0.14
160271,0.55,0.19,0.13,0.13
160272,0.55,0.19,0.14,0.12
160273,0.55,0.19,0.15,0.11
160274,0.55,0.19,0.16,0.1
160275,0.55,0.19,0.17,0.09
160276,0.55,0.19,0.18,0.08
160277,0.55,0.19,0.19,0.07
160278,0.55,0.19,0.2,0.06
160279,0.55,0.19,0.21,0.05
160280,0.55,0.19,0.22,0.04
160281,0.55,0.19,0.23,0.03
160282,0.55,0.19,0.24,0.02
160283,0.55,0.19,0.25,0.01
160284,0.55,0.19,0.26,0.0
160285,0.55,0.2,0.0,0.25
160286,0.55,0.2,0.01,0.24
160287,0.55,0.2,0.02,0.23
160288,0.55,0.2,0.03,0.22
